control,alpha,T,dominated_by_control,dominates_control_count,pareto_region
none,0.45,900,False,9,coupled_candidate
none,0.45,1500,False,6,coupled_candidate
none,0.45,2400,False,3,coupled_candidate
none,0.5,900,False,9,coupled_candidate
none,0.5,1500,False,6,coupled_candidate
none,0.5,2400,False,3,coupled_candidate
none,0.525,900,False,9,coupled_candidate
none,0.525,1500,False,6,coupled_candidate
none,0.525,2400,False,3,coupled_candidate
none,0.45,900,False,0,coupled_candidate
none,0.45,1500,False,0,coupled_candidate
none,0.45,2400,True,0,overlap_or_control
none,0.5,900,False,0,coupled_candidate
none,0.5,1500,False,0,coupled_candidate
none,0.5,2400,True,0,overlap_or_control
none,0.525,900,False,0,coupled_candidate
none,0.525,1500,False,0,coupled_candidate
none,0.525,2400,True,0,overlap_or_control
none,0.45,900,False,0,coupled_candidate
none,0.45,1500,False,0,coupled_candidate
none,0.45,2400,True,0,overlap_or_control
none,0.5,900,False,0,coupled_candidate
none,0.5,1500,False,0,coupled_candidate
none,0.5,2400,True,0,overlap_or_control
none,0.525,900,False,0,coupled_candidate
none,0.525,1500,False,0,coupled_candidate
none,0.525,2400,True,0,overlap_or_control
none,0.45,900,False,0,coupled_candidate
none,0.45,1500,False,0,coupled_candidate
none,0.45,2400,True,0,overlap_or_control
none,0.5,900,False,0,coupled_candidate
none,0.5,1500,False,0,coupled_candidate
none,0.5,2400,True,0,overlap_or_control
none,0.525,900,False,0,coupled_candidate
none,0.525,1500,False,0,coupled_candidate
none,0.525,2400,True,0,overlap_or_control
none,0.45,900,False,0,coupled_candidate
none,0.45,1500,False,0,coupled_candidate
none,0.45,2400,False,0,coupled_candidate
none,0.5,900,False,0,coupled_candidate
none,0.5,1500,False,0,coupled_candidate
none,0.5,2400,False,0,coupled_candidate
none,0.525,900,False,0,coupled_candidate
none,0.525,1500,False,0,coupled_candidate
none,0.525,2400,False,0,coupled_candidate
rigid_collapse,0.45,900,True,0,overlap_or_control
noise_fakeout,0.45,900,False,0,overlap_or_control
single_component_erasure,0.45,900,False,0,overlap_or_control
endpoint_fakeout,0.45,900,False,0,overlap_or_control
rigid_collapse,0.45,1500,True,0,overlap_or_control
noise_fakeout,0.45,1500,False,0,overlap_or_control
single_component_erasure,0.45,1500,True,0,overlap_or_control
endpoint_fakeout,0.45,1500,False,0,overlap_or_control
rigid_collapse,0.45,2400,True,0,overlap_or_control
noise_fakeout,0.45,2400,True,0,overlap_or_control
single_component_erasure,0.45,2400,False,0,overlap_or_control
endpoint_fakeout,0.45,2400,False,0,overlap_or_control
rigid_collapse,0.5,900,True,0,overlap_or_control
noise_fakeout,0.5,900,True,0,overlap_or_control
single_component_erasure,0.5,900,False,0,overlap_or_control
endpoint_fakeout,0.5,900,False,0,overlap_or_control
rigid_collapse,0.5,1500,True,0,overlap_or_control
noise_fakeout,0.5,1500,True,0,overlap_or_control
single_component_erasure,0.5,1500,False,0,overlap_or_control
endpoint_fakeout,0.5,1500,False,0,overlap_or_control
rigid_collapse,0.5,2400,True,0,overlap_or_control
noise_fakeout,0.5,2400,True,0,overlap_or_control
single_component_erasure,0.5,2400,False,0,overlap_or_control
endpoint_fakeout,0.5,2400,False,0,overlap_or_control
rigid_collapse,0.525,900,True,0,overlap_or_control
noise_fakeout,0.525,900,False,0,overlap_or_control
single_component_erasure,0.525,900,False,0,overlap_or_control
endpoint_fakeout,0.525,900,False,0,overlap_or_control
rigid_collapse,0.525,1500,True,0,overlap_or_control
noise_fakeout,0.525,1500,False,0,overlap_or_control
single_component_erasure,0.525,1500,False,0,overlap_or_control
endpoint_fakeout,0.525,1500,False,0,overlap_or_control
rigid_collapse,0.525,2400,True,0,overlap_or_control
noise_fakeout,0.525,2400,False,0,overlap_or_control
single_component_erasure,0.525,2400,False,0,overlap_or_control
endpoint_fakeout,0.525,2400,False,0,overlap_or_control
delayed_trap,0.45,900,True,0,overlap_or_control
component_swap_fakeout,0.45,900,True,0,overlap_or_control
delayed_trap,0.45,1500,True,0,overlap_or_control
component_swap_fakeout,0.45,1500,False,0,overlap_or_control
delayed_trap,0.45,2400,True,0,overlap_or_control
component_swap_fakeout,0.45,2400,True,0,overlap_or_control
delayed_trap,0.5,900,False,0,overlap_or_control
component_swap_fakeout,0.5,900,False,0,overlap_or_control
delayed_trap,0.5,1500,True,0,overlap_or_control
component_swap_fakeout,0.5,1500,False,0,overlap_or_control
delayed_trap,0.5,2400,True,0,overlap_or_control
component_swap_fakeout,0.5,2400,False,0,overlap_or_control
delayed_trap,0.525,900,False,0,overlap_or_control
component_swap_fakeout,0.525,900,False,0,overlap_or_control
delayed_trap,0.525,1500,True,0,overlap_or_control
component_swap_fakeout,0.525,1500,False,0,overlap_or_control
delayed_trap,0.525,2400,True,0,overlap_or_control
component_swap_fakeout,0.525,2400,False,0,overlap_or_control
