kind,world,condition,alpha,T,gpu_used,p_viable_T,effective_dimension
multi,F_T_attractive,coupled,0.5,900,1.0,0.9988370370370371,1.9282728837596046
multi,F_T_attractive,coupled,0.5,1500,1.0,0.9988825925925926,2.4106059312820434
multi,F_T_attractive,coupled,0.525,900,1.0,0.9988925925925927,1.9247085028224522
multi,F_T_attractive,coupled,0.525,1500,1.0,0.9988481481481482,2.404814655250973
multi,F_T_attractive,independent_alpha0,0.5,900,1.0,0.9988366666666667,1.9314744896358913
multi,F_T_attractive,independent_alpha0,0.5,1500,1.0,0.9988562962962964,2.461995670530531
multi,F_T_attractive,independent_alpha0,0.525,900,1.0,0.9988481481481482,1.9310926338036856
multi,F_T_attractive,independent_alpha0,0.525,1500,1.0,0.9988503703703704,2.4631804916593762
multi,F_T_attractive,product,0.5,900,1.0,0.9988844444444445,1.931344449520111
multi,F_T_attractive,product,0.5,1500,1.0,0.9988822222222222,2.4615061508284675
multi,F_T_attractive,product,0.525,900,1.0,0.9988555555555556,1.932141551706526
multi,F_T_attractive,product,0.525,1500,1.0,0.9988851851851851,2.465915152761671
multi,F_T_attractive,shuffled,0.5,900,1.0,0.9988759259259259,1.9324262393845453
multi,F_T_attractive,shuffled,0.5,1500,1.0,0.9988648148148148,2.4615721503893533
multi,F_T_attractive,shuffled,0.525,900,1.0,0.9988600000000001,1.9313720285892486
multi,F_T_attractive,shuffled,0.525,1500,1.0,0.9988740740740741,2.460256510310703
multi,F_T_attractive,time_shuffled,0.5,900,1.0,0.9988992592592592,1.9270440856615703
multi,F_T_attractive,time_shuffled,0.5,1500,1.0,0.9988877777777778,2.411770659022861
multi,F_T_attractive,time_shuffled,0.525,900,1.0,0.998902962962963,1.925606092479494
multi,F_T_attractive,time_shuffled,0.525,1500,1.0,0.9989018518518519,2.404493286874559
single,noise_swamp,noise_swamp,,900,1.0,0.9999837037037036,1.87286274433136
single,open_field,open_field,,900,1.0,1.0,1.4012745042641959
single,rigid_attractor,rigid_attractor,,900,1.0,1.0,1.0229070166746774
single,sink_trap,sink_trap,,900,0.0,0.0,0.0
