kind,world,condition,alpha,T,predictive_r2,time_shuffled_r2,A_pred_delta,gaussian_mi_approx,binned_mi_diagnostic
multi,F_T_attractive,coupled,0.5,900,0.8003948960039351,-0.0008805085468868937,0.801275404550822,0.9760159331436393,0.9262817424005286
multi,F_T_attractive,coupled,0.5,1500,0.6374644756317138,-0.0009488200608246839,0.6384132956925386,0.6305533049049217,0.8465382512294408
multi,F_T_attractive,coupled,0.525,900,0.8006948272387187,-0.0007655492570241084,0.8014603764957429,0.9717190864945926,0.9256209472357863
multi,F_T_attractive,coupled,0.525,1500,0.6368449926376343,-0.0008261105257790185,0.6376711031634134,0.6283607909075528,0.8458048493767145
multi,F_T_attractive,independent_alpha0,0.5,900,0.819300287630823,-0.0009300388857253341,0.8202303265165483,1.08530332580195,0.9412107143977946
multi,F_T_attractive,independent_alpha0,0.5,1500,0.6340331180228127,-0.0009336350007047794,0.6349667530235176,0.7085726617395616,0.8703857047802106
multi,F_T_attractive,independent_alpha0,0.525,900,0.8189559638500213,-0.0007830612160141873,0.8197390250660356,1.0860700602327873,0.9413046043066127
multi,F_T_attractive,independent_alpha0,0.525,1500,0.6339376770787769,-0.000894247468024996,0.6348319245468019,0.7085222207717847,0.8703708091122698
multi,F_T_attractive,product,0.5,900,0.8188777681854036,-0.0008881318827036022,0.8197659000681072,1.0857493761967174,0.9412658601934827
multi,F_T_attractive,product,0.5,1500,0.634460046225124,-0.0009250709465202767,0.6353851171716443,0.7095161994976968,0.8706468933308847
multi,F_T_attractive,product,0.525,900,0.8190814912319183,-0.0008520345336894844,0.8199335257656079,1.085653800478093,0.941253365072733
multi,F_T_attractive,product,0.525,1500,0.6332009355227153,-0.0009362346923706735,0.634137170215086,0.707721321947942,0.870147485088723
multi,F_T_attractive,shuffled,0.5,900,0.8192596700456407,-0.000859593176480462,0.8201192632221213,1.0855562472792835,0.9412428962146119
multi,F_T_attractive,shuffled,0.5,1500,0.6342387513981925,-0.0008444152867392565,0.6350831666849318,0.7091859890949768,0.8705550178535801
multi,F_T_attractive,shuffled,0.525,900,0.8193814959790972,-0.0008783960244626035,0.8202598920035598,1.085441385314091,0.9412282561227763
multi,F_T_attractive,shuffled,0.525,1500,0.6346769637531704,-0.0009036753250269041,0.6355806390781974,0.7093947054626302,0.8706139903175685
multi,F_T_attractive,time_shuffled,0.5,900,0.9023442311419381,-0.0009255529353860093,0.9032697840773242,1.0030497129973261,0.9148618178213843
multi,F_T_attractive,time_shuffled,0.5,1500,0.8145768463611602,-0.0009037776417597719,0.8154806240029201,0.6553538675000381,0.8243352685882638
multi,F_T_attractive,time_shuffled,0.525,900,0.901652525862058,-0.0009365955844259155,0.902589121446484,0.9995205354466211,0.9142866577789488
multi,F_T_attractive,time_shuffled,0.525,1500,0.8142138659954071,-0.0008307983330950759,0.8150446643285022,0.6540313021605754,0.8241170674148519
single,noise_swamp,noise_swamp,,900,0.6857737100786633,-0.0006301377271268867,0.6864038478057902,0.45865271414973463,0.7748320106948412
single,open_field,open_field,,900,0.7687510679165522,-0.0004864338282004278,0.7692375017447527,0.8887601045506565,0.911549609441175
single,rigid_attractor,rigid_attractor,,900,-0.0002304036971395125,-0.0004265225035503629,0.000196118806410858,4.1086917105189614e-05,0.007236058627259579
single,sink_trap,sink_trap,,900,0.0,0.0,0.0,0.0,0.0
