kind,world,condition,alpha,T,endpoint_variance,mean_pairwise_trajectory_distance,effective_dimension,covariance_spectrum_rank,path_concentration_index,collapse_score
multi,F_T_attractive,coupled,0.5,900,0.04515627835773754,1.3913483652803633,1.9282728837596046,2.0,0.34150306068277775,0.34150306068277775
multi,F_T_attractive,coupled,0.5,1500,0.034849389166467674,1.2939360188113318,2.4106059312820434,3.0,0.2932097338177316,0.2932097338177316
multi,F_T_attractive,coupled,0.525,900,0.04506614692509169,1.3857994231912825,1.9247085028224522,2.0,0.34191901362508126,0.34191901362508126
multi,F_T_attractive,coupled,0.525,1500,0.034834700057076035,1.288113890091578,2.404814655250973,3.0,0.29370800122351337,0.29370800122351337
multi,F_T_attractive,independent_alpha0,0.5,900,0.05017020333972237,1.4977829416592916,1.9314744896358913,2.0,0.3411302405104547,0.3411302405104547
multi,F_T_attractive,independent_alpha0,0.5,1500,0.029105628395660006,1.341970020532608,2.461995670530531,3.0,0.28885689165216183,0.28885689165216183
multi,F_T_attractive,independent_alpha0,0.525,900,0.05019348085754442,1.4876510898272197,1.9310926338036856,2.0,0.3411742845623389,0.3411742845623389
multi,F_T_attractive,independent_alpha0,0.525,1500,0.029130768258538463,1.3376640260219574,2.4631804916593762,3.0,0.28876059485543193,0.28876059485543193
multi,F_T_attractive,product,0.5,900,0.05021076310012071,1.498025463687049,1.931344449520111,2.0,0.34114428343443054,0.34114428343443054
multi,F_T_attractive,product,0.5,1500,0.02913894582953713,1.3439005368285708,2.4615061508284675,3.0,0.28889796376706023,0.28889796376706023
multi,F_T_attractive,product,0.525,900,0.05010835867789051,1.4850826839605966,1.932141551706526,2.0,0.34105303812465204,0.34105303812465204
multi,F_T_attractive,product,0.525,1500,0.029134454029715675,1.3394508871767257,2.465915152761671,3.0,0.2885312222170996,0.2885312222170996
multi,F_T_attractive,shuffled,0.5,900,0.05010273400694127,1.4945131149556903,1.9324262393845453,2.0,0.3410190958827093,0.3410190958827093
multi,F_T_attractive,shuffled,0.5,1500,0.029120015270180127,1.346455317735672,2.4615721503893533,3.0,0.28889262631711204,0.28889262631711204
multi,F_T_attractive,shuffled,0.525,900,0.05016382146212785,1.496459365553326,1.9313720285892486,2.0,0.34114138760085466,0.34114138760085466
multi,F_T_attractive,shuffled,0.525,1500,0.02913078136949071,1.3435476422309875,2.460256510310703,3.0,0.28900321095233,0.28900321095233
multi,F_T_attractive,time_shuffled,0.5,900,0.09193385015759199,1.3927354554335276,1.9270440856615703,2.0,0.34164614876406474,0.34164614876406474
multi,F_T_attractive,time_shuffled,0.5,1500,0.07609853357490562,1.2853308730655246,2.411770659022861,3.0,0.293109076042428,0.293109076042428
multi,F_T_attractive,time_shuffled,0.525,900,0.09124241558214025,1.390251420603858,1.925606092479494,2.0,0.3418139449817547,0.3418139449817547
multi,F_T_attractive,time_shuffled,0.525,1500,0.07596117719593971,1.2857673221164279,2.404493286874559,3.0,0.2937353721893113,0.2937353721893113
single,noise_swamp,noise_swamp,,900,0.4086032893922594,1.9425053040186564,1.87286274433136,2.0,0.34808878433221724,0.34808878433221724
single,open_field,open_field,,900,0.026342674013641095,1.0440361042817434,1.4012745042641959,1.0,0.41644664998384856,0.41644664998384856
single,rigid_attractor,rigid_attractor,,900,0.000130987032995665,0.6244600825839572,1.0229070166746774,1.0,0.4943381026410113,0.4943381026410113
single,sink_trap,sink_trap,,900,0.0,0.0,0.0,0.0,1.0,1.0
