condition,alpha,T,control,continuation_viability,continuation_profile_separation
coupled,0.45,900,none,0.5990013033151627,0.6911153793334961
coupled,0.45,900,rigid_collapse,0.5988482981920242,0.6909962594509125
coupled,0.45,900,noise_fakeout,0.12053820490837097,0.24796050786972046
coupled,0.45,900,single_component_erasure,0.6802715286612511,0.7672948390245438
coupled,0.45,900,endpoint_fakeout,0.5366972386837006,0.6023570895195007
coupled,0.45,1500,none,0.4631822258234024,0.5864842236042023
coupled,0.45,1500,rigid_collapse,0.470867395401001,0.5924029350280762
coupled,0.45,1500,noise_fakeout,0.13349542021751404,0.2621716260910034
coupled,0.45,1500,single_component_erasure,0.532499223947525,0.6577457785606384
coupled,0.45,1500,endpoint_fakeout,0.4160814583301544,0.49322056770324707
coupled,0.45,2400,none,0.3632655292749405,0.5069519579410553
coupled,0.45,2400,rigid_collapse,0.3573353886604309,0.5023462176322937
coupled,0.45,2400,noise_fakeout,0.1397418975830078,0.2817394733428955
coupled,0.45,2400,single_component_erasure,0.41728927195072174,0.5679234564304352
coupled,0.45,2400,endpoint_fakeout,0.3449084162712097,0.4264550805091858
coupled,0.5,900,none,0.6075283885002136,0.6981709599494934
coupled,0.5,900,rigid_collapse,0.6035270392894745,0.6950924694538116
coupled,0.5,900,noise_fakeout,0.12814342975616455,0.2556455135345459
coupled,0.5,900,single_component_erasure,0.6681397706270218,0.7579164206981659
coupled,0.5,900,endpoint_fakeout,0.5453062057495117,0.6083766222000122
coupled,0.5,1500,none,0.4682408720254898,0.5879059135913849
coupled,0.5,1500,rigid_collapse,0.46485668420791626,0.5852820873260498
coupled,0.5,1500,noise_fakeout,0.12336370348930359,0.25033074617385864
coupled,0.5,1500,single_component_erasure,0.5250465273857117,0.6508679986000061
coupled,0.5,1500,endpoint_fakeout,0.41839274764060974,0.4940393567085266
coupled,0.5,2400,none,0.36064742505550385,0.5014125406742096
coupled,0.5,2400,rigid_collapse,0.35667404532432556,0.49831289052963257
coupled,0.5,2400,noise_fakeout,0.1496422290802002,0.28981858491897583
coupled,0.5,2400,single_component_erasure,0.40482547879219055,0.5553057789802551
coupled,0.5,2400,endpoint_fakeout,0.33539775013923645,0.41927671432495117
coupled,0.525,900,none,0.6054931282997131,0.6940571963787079
coupled,0.525,900,rigid_collapse,0.6070852279663086,0.6952906847000122
coupled,0.525,900,noise_fakeout,0.14039912819862366,0.27262967824935913
coupled,0.525,900,single_component_erasure,0.6816200464963913,0.7661242485046387
coupled,0.525,900,endpoint_fakeout,0.5510772913694382,0.6139430701732635
coupled,0.525,1500,none,0.46300309896469116,0.5847495794296265
coupled,0.525,1500,rigid_collapse,0.46916663646698,0.5895103812217712
coupled,0.525,1500,noise_fakeout,0.1260366141796112,0.25562626123428345
coupled,0.525,1500,single_component_erasure,0.5312296897172928,0.657610684633255
coupled,0.525,1500,endpoint_fakeout,0.4332260489463806,0.505077600479126
coupled,0.525,2400,none,0.36158594489097595,0.5049591660499573
coupled,0.525,2400,rigid_collapse,0.35712936520576477,0.501502275466919
coupled,0.525,2400,noise_fakeout,0.13300612568855286,0.27081066370010376
coupled,0.525,2400,single_component_erasure,0.40422554314136505,0.5576249063014984
coupled,0.525,2400,endpoint_fakeout,0.343190997838974,0.4249051809310913
independent_alpha0,0.45,900,none,0.6351251006126404,0.7182812988758087
independent_alpha0,0.45,1500,none,0.4685928523540497,0.5822227001190186
independent_alpha0,0.45,2400,none,0.3144809603691101,0.44921374320983887
independent_alpha0,0.5,900,none,0.6217632442712784,0.7085272669792175
independent_alpha0,0.5,1500,none,0.46590617299079895,0.5807075500488281
independent_alpha0,0.5,2400,none,0.3229147493839264,0.45658862590789795
independent_alpha0,0.525,900,none,0.6227732002735138,0.7096918523311615
independent_alpha0,0.525,1500,none,0.4698801040649414,0.5841660499572754
independent_alpha0,0.525,2400,none,0.3117433786392212,0.4451786279678345
product,0.45,900,none,0.6257580071687698,0.7108473777770996
product,0.45,1500,none,0.46803030371665955,0.583478569984436
product,0.45,2400,none,0.31245046854019165,0.45021772384643555
product,0.5,900,none,0.6298505216836929,0.7145834267139435
product,0.5,1500,none,0.4725251644849777,0.5839633643627167
product,0.5,2400,none,0.316377192735672,0.4481889009475708
product,0.525,900,none,0.6253187209367752,0.7121837139129639
product,0.525,1500,none,0.47065261006355286,0.5828677415847778
product,0.525,2400,none,0.31219053268432617,0.44691091775894165
shuffled,0.45,900,none,0.6273655444383621,0.712581217288971
shuffled,0.45,1500,none,0.46885690093040466,0.5824375748634338
shuffled,0.45,2400,none,0.31978297233581543,0.4522455930709839
shuffled,0.5,900,none,0.6246341615915298,0.7121850252151489
shuffled,0.5,1500,none,0.46592867374420166,0.5806118845939636
shuffled,0.5,2400,none,0.3102172017097473,0.442593514919281
shuffled,0.525,900,none,0.6217362135648727,0.7081023752689362
shuffled,0.525,1500,none,0.4600561857223511,0.5741268992424011
shuffled,0.525,2400,none,0.3161379098892212,0.44845640659332275
time_shuffled,0.45,900,none,0.44573087990283966,0.5483264625072479
time_shuffled,0.45,1500,none,0.38207516074180603,0.49398279190063477
time_shuffled,0.45,2400,none,0.3189813196659088,0.44225525856018066
time_shuffled,0.5,900,none,0.444654181599617,0.550062745809555
time_shuffled,0.5,1500,none,0.3764376640319824,0.4955965280532837
time_shuffled,0.5,2400,none,0.3252461850643158,0.45031076669692993
time_shuffled,0.525,900,none,0.4445129781961441,0.5480062067508698
time_shuffled,0.525,1500,none,0.37236079573631287,0.4882233738899231
time_shuffled,0.525,2400,none,0.3167891502380371,0.4425843358039856
