alpha,T,metric,null,delta
0.45,900,early_to_late_neighbor_preservation,product,-0.03378140926361084
0.45,900,early_to_late_future_profile_separation,product,0.008628129959106445
0.45,900,time_shuffled_delta,product,-0.01826004689792171
0.45,900,linear_CKA_past_future,product,-0.029135048389434814
0.45,900,component_continuity_balance,product,0.09704932570457458
0.45,900,continuation_profile_separation,product,-0.019731998443603516
0.45,900,early_to_late_neighbor_preservation,shuffled,-0.03526264429092407
0.45,900,early_to_late_future_profile_separation,shuffled,0.0022916793823242188
0.45,900,time_shuffled_delta,shuffled,-0.02279210923006758
0.45,900,linear_CKA_past_future,shuffled,-0.029142320156097412
0.45,900,component_continuity_balance,shuffled,0.10606032609939575
0.45,900,continuation_profile_separation,shuffled,-0.021465837955474854
0.45,900,early_to_late_neighbor_preservation,time_shuffled,0.16375192999839783
0.45,900,early_to_late_future_profile_separation,time_shuffled,0.2911575436592102
0.45,900,time_shuffled_delta,time_shuffled,0.28942075511440635
0.45,900,linear_CKA_past_future,time_shuffled,0.14504504203796387
0.45,900,component_continuity_balance,time_shuffled,0.030332952737808228
0.45,900,continuation_profile_separation,time_shuffled,0.14278891682624817
0.45,900,early_to_late_neighbor_preservation,independent_alpha0,-0.04508167505264282
0.45,900,early_to_late_future_profile_separation,independent_alpha0,0.012913346290588379
0.45,900,time_shuffled_delta,independent_alpha0,-0.02472466032486409
0.45,900,linear_CKA_past_future,independent_alpha0,-0.028243660926818848
0.45,900,component_continuity_balance,independent_alpha0,0.1009664237499237
0.45,900,continuation_profile_separation,independent_alpha0,-0.027165919542312622
0.45,1500,early_to_late_neighbor_preservation,product,-0.012701809406280518
0.45,1500,early_to_late_future_profile_separation,product,0.02577650547027588
0.45,1500,time_shuffled_delta,product,-0.004187970771454275
0.45,1500,linear_CKA_past_future,product,-0.033041417598724365
0.45,1500,component_continuity_balance,product,0.1494572013616562
0.45,1500,continuation_profile_separation,product,0.0030056536197662354
0.45,1500,early_to_late_neighbor_preservation,shuffled,-0.01539599895477295
0.45,1500,early_to_late_future_profile_separation,shuffled,0.03438127040863037
0.45,1500,time_shuffled_delta,shuffled,0.00266985350754112
0.45,1500,linear_CKA_past_future,shuffled,-0.03317379951477051
0.45,1500,component_continuity_balance,shuffled,0.13816364109516144
0.45,1500,continuation_profile_separation,shuffled,0.004046648740768433
0.45,1500,early_to_late_neighbor_preservation,time_shuffled,0.06971269845962524
0.45,1500,early_to_late_future_profile_separation,time_shuffled,0.29781144857406616
0.45,1500,time_shuffled_delta,time_shuffled,0.27995011175516993
0.45,1500,linear_CKA_past_future,time_shuffled,0.20829492807388306
0.45,1500,component_continuity_balance,time_shuffled,-0.11764219775795937
0.45,1500,continuation_profile_separation,time_shuffled,0.0925014317035675
0.45,1500,early_to_late_neighbor_preservation,independent_alpha0,-0.015082776546478271
0.45,1500,early_to_late_future_profile_separation,independent_alpha0,0.03738844394683838
0.45,1500,time_shuffled_delta,independent_alpha0,0.003634518652688712
0.45,1500,linear_CKA_past_future,independent_alpha0,-0.035829126834869385
0.45,1500,component_continuity_balance,independent_alpha0,0.148681640625
0.45,1500,continuation_profile_separation,independent_alpha0,0.004261523485183716
0.45,2400,early_to_late_neighbor_preservation,product,0.04489588737487793
0.45,2400,early_to_late_future_profile_separation,product,0.1252356767654419
0.45,2400,time_shuffled_delta,product,0.04476445558248088
0.45,2400,linear_CKA_past_future,product,-0.002297908067703247
0.45,2400,component_continuity_balance,product,0.07144135236740112
0.45,2400,continuation_profile_separation,product,0.05673423409461975
0.45,2400,early_to_late_neighbor_preservation,shuffled,0.03225874900817871
0.45,2400,early_to_late_future_profile_separation,shuffled,0.13719409704208374
0.45,2400,time_shuffled_delta,shuffled,0.040941605693660676
0.45,2400,linear_CKA_past_future,shuffled,-0.003926515579223633
0.45,2400,component_continuity_balance,shuffled,0.0794164314866066
0.45,2400,continuation_profile_separation,shuffled,0.05470636487007141
0.45,2400,early_to_late_neighbor_preservation,time_shuffled,0.02387171983718872
0.45,2400,early_to_late_future_profile_separation,time_shuffled,0.26401615142822266
0.45,2400,time_shuffled_delta,time_shuffled,0.17674084939062595
0.45,2400,linear_CKA_past_future,time_shuffled,0.2070930004119873
0.45,2400,component_continuity_balance,time_shuffled,-0.17425842490047216
0.45,2400,continuation_profile_separation,time_shuffled,0.06469669938087463
0.45,2400,early_to_late_neighbor_preservation,independent_alpha0,0.039830923080444336
0.45,2400,early_to_late_future_profile_separation,independent_alpha0,0.13706964254379272
0.45,2400,time_shuffled_delta,independent_alpha0,0.05823531246278435
0.45,2400,linear_CKA_past_future,independent_alpha0,0.0016852915287017822
0.45,2400,component_continuity_balance,independent_alpha0,0.08070547133684158
0.45,2400,continuation_profile_separation,independent_alpha0,0.05773821473121643
0.5,900,early_to_late_neighbor_preservation,product,-0.028231799602508545
0.5,900,early_to_late_future_profile_separation,product,0.003977298736572266
0.5,900,time_shuffled_delta,product,-0.01764096977422014
0.5,900,linear_CKA_past_future,product,-0.030311763286590576
0.5,900,component_continuity_balance,product,0.11443918943405151
0.5,900,continuation_profile_separation,product,-0.016412466764450073
0.5,900,early_to_late_neighbor_preservation,shuffled,-0.02019748091697693
0.5,900,early_to_late_future_profile_separation,shuffled,-0.013115644454956055
0.5,900,time_shuffled_delta,shuffled,-0.02308785106288269
0.5,900,linear_CKA_past_future,shuffled,-0.03288078308105469
0.5,900,component_continuity_balance,shuffled,0.11038240790367126
0.5,900,continuation_profile_separation,shuffled,-0.014014065265655518
0.5,900,early_to_late_neighbor_preservation,time_shuffled,0.17764019966125488
0.5,900,early_to_late_future_profile_separation,time_shuffled,0.31276410818099976
0.5,900,time_shuffled_delta,time_shuffled,0.30899843423685525
0.5,900,linear_CKA_past_future,time_shuffled,0.16734182834625244
0.5,900,component_continuity_balance,time_shuffled,0.011792898178100586
0.5,900,continuation_profile_separation,time_shuffled,0.14810821413993835
0.5,900,early_to_late_neighbor_preservation,independent_alpha0,-0.018113404512405396
0.5,900,early_to_late_future_profile_separation,independent_alpha0,0.00045049190521240234
0.5,900,time_shuffled_delta,independent_alpha0,-0.022488289105240256
0.5,900,linear_CKA_past_future,independent_alpha0,-0.03164130449295044
0.5,900,component_continuity_balance,independent_alpha0,0.09837612509727478
0.5,900,continuation_profile_separation,independent_alpha0,-0.010356307029724121
0.5,1500,early_to_late_neighbor_preservation,product,-0.012511134147644043
0.5,1500,early_to_late_future_profile_separation,product,0.021105825901031494
0.5,1500,time_shuffled_delta,product,0.008958301914390177
0.5,1500,linear_CKA_past_future,product,-0.033476412296295166
0.5,1500,component_continuity_balance,product,0.18004319071769714
0.5,1500,continuation_profile_separation,product,0.003942549228668213
0.5,1500,early_to_late_neighbor_preservation,shuffled,-0.0026696324348449707
0.5,1500,early_to_late_future_profile_separation,shuffled,0.048016250133514404
0.5,1500,time_shuffled_delta,shuffled,0.012813306064344943
0.5,1500,linear_CKA_past_future,shuffled,-0.03136003017425537
0.5,1500,component_continuity_balance,shuffled,0.1565486043691635
0.5,1500,continuation_profile_separation,shuffled,0.007294028997421265
0.5,1500,early_to_late_neighbor_preservation,time_shuffled,0.09129703044891357
0.5,1500,early_to_late_future_profile_separation,time_shuffled,0.34016478061676025
0.5,1500,time_shuffled_delta,time_shuffled,0.3051785879652016
0.5,1500,linear_CKA_past_future,time_shuffled,0.25129592418670654
0.5,1500,component_continuity_balance,time_shuffled,-0.12340360134840012
0.5,1500,continuation_profile_separation,time_shuffled,0.0923093855381012
0.5,1500,early_to_late_neighbor_preservation,independent_alpha0,-0.002528965473175049
0.5,1500,early_to_late_future_profile_separation,independent_alpha0,0.030823051929473877
0.5,1500,time_shuffled_delta,independent_alpha0,0.0010901479981839657
0.5,1500,linear_CKA_past_future,independent_alpha0,-0.03388267755508423
0.5,1500,component_continuity_balance,independent_alpha0,0.17967791855335236
0.5,1500,continuation_profile_separation,independent_alpha0,0.007198363542556763
0.5,2400,early_to_late_neighbor_preservation,product,0.0353168249130249
0.5,2400,early_to_late_future_profile_separation,product,0.09421765804290771
0.5,2400,time_shuffled_delta,product,0.06345977436285466
0.5,2400,linear_CKA_past_future,product,0.0011554062366485596
0.5,2400,component_continuity_balance,product,0.118982695043087
0.5,2400,continuation_profile_separation,product,0.053223639726638794
0.5,2400,early_to_late_neighbor_preservation,shuffled,0.04204142093658447
0.5,2400,early_to_late_future_profile_separation,shuffled,0.10332471132278442
0.5,2400,time_shuffled_delta,shuffled,0.060124310781247914
0.5,2400,linear_CKA_past_future,shuffled,-0.004366844892501831
0.5,2400,component_continuity_balance,shuffled,0.11901413649320602
0.5,2400,continuation_profile_separation,shuffled,0.05881902575492859
0.5,2400,early_to_late_neighbor_preservation,time_shuffled,0.019700706005096436
0.5,2400,early_to_late_future_profile_separation,time_shuffled,0.2856907844543457
0.5,2400,time_shuffled_delta,time_shuffled,0.20169936114689335
0.5,2400,linear_CKA_past_future,time_shuffled,0.2440216839313507
0.5,2400,component_continuity_balance,time_shuffled,-0.16541479993611574
0.5,2400,continuation_profile_separation,time_shuffled,0.05110177397727966
0.5,2400,early_to_late_neighbor_preservation,independent_alpha0,0.03064143657684326
0.5,2400,early_to_late_future_profile_separation,independent_alpha0,0.08722233772277832
0.5,2400,time_shuffled_delta,independent_alpha0,0.06714545364957303
0.5,2400,linear_CKA_past_future,independent_alpha0,-0.0016584992408752441
0.5,2400,component_continuity_balance,independent_alpha0,0.13280318677425385
0.5,2400,continuation_profile_separation,independent_alpha0,0.044823914766311646
0.525,900,early_to_late_neighbor_preservation,product,-0.021524667739868164
0.525,900,early_to_late_future_profile_separation,product,0.023778796195983887
0.525,900,time_shuffled_delta,product,-0.020811455629882403
0.525,900,linear_CKA_past_future,product,-0.030808866024017334
0.525,900,component_continuity_balance,product,0.12517297267913818
0.525,900,continuation_profile_separation,product,-0.01812651753425598
0.525,900,early_to_late_neighbor_preservation,shuffled,-0.018440991640090942
0.525,900,early_to_late_future_profile_separation,shuffled,0.015958189964294434
0.525,900,time_shuffled_delta,shuffled,-0.021526446580537595
0.525,900,linear_CKA_past_future,shuffled,-0.032922208309173584
0.525,900,component_continuity_balance,shuffled,0.13305073976516724
0.525,900,continuation_profile_separation,shuffled,-0.014045178890228271
0.525,900,early_to_late_neighbor_preservation,time_shuffled,0.17590931057929993
0.525,900,early_to_late_future_profile_separation,time_shuffled,0.38332098722457886
0.525,900,time_shuffled_delta,time_shuffled,0.31775464389647823
0.525,900,linear_CKA_past_future,time_shuffled,0.17377525568008423
0.525,900,component_continuity_balance,time_shuffled,0.03034243732690811
0.525,900,continuation_profile_separation,time_shuffled,0.14605098962783813
0.525,900,early_to_late_neighbor_preservation,independent_alpha0,-0.018925487995147705
0.525,900,early_to_late_future_profile_separation,independent_alpha0,0.044472694396972656
0.525,900,time_shuffled_delta,independent_alpha0,-0.02304917982837651
0.525,900,linear_CKA_past_future,independent_alpha0,-0.031697988510131836
0.525,900,component_continuity_balance,independent_alpha0,0.12465962767601013
0.525,900,continuation_profile_separation,independent_alpha0,-0.015634655952453613
0.525,1500,early_to_late_neighbor_preservation,product,-0.01718086004257202
0.525,1500,early_to_late_future_profile_separation,product,0.032805681228637695
0.525,1500,time_shuffled_delta,product,0.00107784234569408
0.525,1500,linear_CKA_past_future,product,-0.03911328315734863
0.525,1500,component_continuity_balance,product,0.20683906972408295
0.525,1500,continuation_profile_separation,product,0.0018818378448486328
