,p_viable_T,effective_rank,covariance_spectrum_entropy,top_eigenvalue_fraction,mean_pairwise_distance_sketch,collapse_score,rank_retention_late_over_early,component_rank_balance,component_distance_balance,component_erasure_score
p_viable_T,1.0,0.27136848395614205,0.3023538700796858,-0.2792879122641419,0.11950025186255858,-0.3128936782004743,-0.08974504636399673,0.23333517692744823,0.48899299381824923,-0.5425354829320553
effective_rank,0.27136848395614205,1.0,0.9792150769709401,-0.9984508873875344,0.6960392740056912,-0.9480296799601771,-0.7033596292472194,0.9009978582495876,0.7922170260217003,-0.8116507815619511
covariance_spectrum_entropy,0.3023538700796858,0.9792150769709401,1.0,-0.9879639397088659,0.5990627242408546,-0.992784461462508,-0.6022773348133369,0.7996842541966205,0.8873536251456092,-0.8028843132554728
top_eigenvalue_fraction,-0.2792879122641419,-0.9984508873875344,-0.9879639397088659,1.0,-0.6729116957133958,0.962774438336545,0.6851176816346919,-0.8799237534117053,-0.8178837329569796,0.8147786338528646
mean_pairwise_distance_sketch,0.11950025186255858,0.6960392740056912,0.5990627242408546,-0.6729116957133958,1.0,-0.5226938672182687,-0.4603836189653797,0.8453732907036885,0.3234170394364491,-0.7416168927751325
collapse_score,-0.3128936782004743,-0.9480296799601771,-0.992784461462508,0.962774438336545,-0.5226938672182687,1.0,0.5383684402747402,-0.723234553367069,-0.9253084658325087,0.7773399787882418
rank_retention_late_over_early,-0.08974504636399673,-0.7033596292472194,-0.6022773348133369,0.6851176816346919,-0.4603836189653797,0.5383684402747402,1.0,-0.7601252967595329,-0.301756852250891,0.40598773401465965
component_rank_balance,0.23333517692744823,0.9009978582495876,0.7996842541966205,-0.8799237534117053,0.8453732907036885,-0.723234553367069,-0.7601252967595329,1.0,0.5055198386582387,-0.7911026748779562
component_distance_balance,0.48899299381824923,0.7922170260217003,0.8873536251456092,-0.8178837329569796,0.3234170394364491,-0.9253084658325087,-0.301756852250891,0.5055198386582387,1.0,-0.7627064667930313
component_erasure_score,-0.5425354829320553,-0.8116507815619511,-0.8028843132554728,0.8147786338528646,-0.7416168927751325,0.7773399787882418,0.40598773401465965,-0.7911026748779562,-0.7627064667930313,1.0
