alpha,T,metric,null,delta
0.45,900,effective_rank,product,-0.001010894775390625
0.45,900,covariance_spectrum_entropy,product,-0.0005230307579040527
0.45,900,mean_pairwise_distance_sketch,product,-0.10355746746063232
0.45,900,collapse_score,product,0.0001175289814493441
0.45,900,component_rank_balance,product,0.00120200683638777
0.45,900,component_distance_balance,product,0.030390738906331982
0.45,900,effective_rank,shuffled,-0.0010300874710083008
0.45,900,covariance_spectrum_entropy,shuffled,-0.0005329251289367676
0.45,900,mean_pairwise_distance_sketch,shuffled,-0.10038518905639648
0.45,900,collapse_score,shuffled,0.00011975958535725972
0.45,900,component_rank_balance,shuffled,0.0008667709724302641
0.45,900,component_distance_balance,shuffled,0.02876110709446683
0.45,900,effective_rank,time_shuffled,-3.1187764406204224
0.45,900,covariance_spectrum_entropy,time_shuffled,-0.9608963131904602
0.45,900,mean_pairwise_distance_sketch,time_shuffled,-0.3519326448440552
0.45,900,collapse_score,time_shuffled,0.17577103117099951
0.45,900,component_rank_balance,time_shuffled,-0.0836813590222949
0.45,900,component_distance_balance,time_shuffled,-0.09115958858020085
0.45,900,effective_rank,independent_alpha0,0.0017256736755371094
0.45,900,covariance_spectrum_entropy,independent_alpha0,0.0008934736251831055
0.45,900,mean_pairwise_distance_sketch,independent_alpha0,-0.09764862060546875
0.45,900,collapse_score,independent_alpha0,-0.00020081819158929148
0.45,900,component_rank_balance,independent_alpha0,0.0017812323900607274
0.45,900,component_distance_balance,independent_alpha0,0.03329949596737802
0.45,1500,effective_rank,product,-0.032433509826660156
0.45,1500,covariance_spectrum_entropy,product,-0.013292491436004639
0.45,1500,mean_pairwise_distance_sketch,product,-0.06213271617889404
0.45,1500,collapse_score,product,0.002740790654167935
0.45,1500,component_rank_balance,product,0.029531186457013636
0.45,1500,component_distance_balance,product,0.019453960145051685
0.45,1500,effective_rank,shuffled,-0.0387420654296875
0.45,1500,covariance_spectrum_entropy,shuffled,-0.015857577323913574
0.45,1500,mean_pairwise_distance_sketch,shuffled,-0.04338252544403076
0.45,1500,collapse_score,shuffled,0.0032679297383130246
0.45,1500,component_rank_balance,shuffled,0.029151162601165403
0.45,1500,component_distance_balance,shuffled,0.011039287292339828
0.45,1500,effective_rank,time_shuffled,-4.435662746429443
0.45,1500,covariance_spectrum_entropy,time_shuffled,-1.0402856469154358
0.45,1500,mean_pairwise_distance_sketch,time_shuffled,-0.4338630437850952
0.45,1500,collapse_score,time_shuffled,0.1648361630260662
0.45,1500,component_rank_balance,time_shuffled,-0.29137522440736124
0.45,1500,component_distance_balance,time_shuffled,-0.061465884119749126
0.45,1500,effective_rank,independent_alpha0,-0.039552927017211914
0.45,1500,covariance_spectrum_entropy,independent_alpha0,-0.016186773777008057
0.45,1500,mean_pairwise_distance_sketch,independent_alpha0,-0.042806148529052734
0.45,1500,collapse_score,independent_alpha0,0.00333554556205673
0.45,1500,component_rank_balance,independent_alpha0,0.029571041919873753
0.45,1500,component_distance_balance,independent_alpha0,0.013311809989122458
0.45,2400,effective_rank,product,-0.07948756217956543
0.45,2400,covariance_spectrum_entropy,product,-0.024933576583862305
0.45,2400,mean_pairwise_distance_sketch,product,-0.024279356002807617
0.45,2400,collapse_score,product,0.004532083243249163
0.45,2400,component_rank_balance,product,0.05080718484143559
0.45,2400,component_distance_balance,product,0.004523940981010055
0.45,2400,effective_rank,shuffled,-0.07265567779541016
0.45,2400,covariance_spectrum_entropy,shuffled,-0.02281486988067627
0.45,2400,mean_pairwise_distance_sketch,shuffled,-0.0057642459869384766
0.45,2400,collapse_score,shuffled,0.004149259619807999
0.45,2400,component_rank_balance,shuffled,0.052188122804050774
0.45,2400,component_distance_balance,shuffled,-0.0029958486106100857
0.45,2400,effective_rank,time_shuffled,-5.243716478347778
0.45,2400,covariance_spectrum_entropy,time_shuffled,-0.9804010391235352
0.45,2400,mean_pairwise_distance_sketch,time_shuffled,-0.49279332160949707
0.45,2400,collapse_score,time_shuffled,0.1345851401695261
0.45,2400,component_rank_balance,time_shuffled,-0.4366083501383125
0.45,2400,component_distance_balance,time_shuffled,-0.029747882158141725
0.45,2400,effective_rank,independent_alpha0,-0.06724739074707031
0.45,2400,covariance_spectrum_entropy,independent_alpha0,-0.021134376525878906
0.45,2400,mean_pairwise_distance_sketch,independent_alpha0,-0.0028504133224487305
0.45,2400,collapse_score,independent_alpha0,0.003845327142250221
0.45,2400,component_rank_balance,independent_alpha0,0.05205246190448315
0.45,2400,component_distance_balance,independent_alpha0,0.0004114435356736834
0.5,900,effective_rank,product,-0.006261944770812988
0.5,900,covariance_spectrum_entropy,product,-0.003247082233428955
0.5,900,mean_pairwise_distance_sketch,product,-0.08481383323669434
0.5,900,collapse_score,product,0.0007301804469663775
0.5,900,component_rank_balance,product,0.005717297940262933
0.5,900,component_distance_balance,product,0.03992988754561316
0.5,900,effective_rank,shuffled,-0.008287549018859863
0.5,900,covariance_spectrum_entropy,shuffled,-0.004295170307159424
0.5,900,mean_pairwise_distance_sketch,shuffled,-0.10169565677642822
0.5,900,collapse_score,shuffled,0.0009657108288720906
0.5,900,component_rank_balance,shuffled,0.0031889912806914444
0.5,900,component_distance_balance,shuffled,0.041078134734241434
0.5,900,effective_rank,time_shuffled,-3.363841414451599
0.5,900,covariance_spectrum_entropy,time_shuffled,-1.0105633735656738
0.5,900,mean_pairwise_distance_sketch,time_shuffled,-0.40269505977630615
0.5,900,collapse_score,time_shuffled,0.18283811715093545
0.5,900,component_rank_balance,time_shuffled,-0.10595341594389529
0.5,900,component_distance_balance,time_shuffled,-0.08429261772277624
0.5,900,effective_rank,independent_alpha0,-0.0016274452209472656
0.5,900,covariance_spectrum_entropy,independent_alpha0,-0.0008448362350463867
0.5,900,mean_pairwise_distance_sketch,independent_alpha0,-0.08987653255462646
0.5,900,collapse_score,independent_alpha0,0.00019007038586454916
0.5,900,component_rank_balance,independent_alpha0,0.0048671095508533435
0.5,900,component_distance_balance,independent_alpha0,0.037344732946821446
0.5,1500,effective_rank,product,-0.05209088325500488
0.5,1500,covariance_spectrum_entropy,product,-0.021408259868621826
0.5,1500,mean_pairwise_distance_sketch,product,-0.04943978786468506
0.5,1500,collapse_score,product,0.004419383866929749
0.5,1500,component_rank_balance,product,0.03673776514014532
0.5,1500,component_distance_balance,product,0.021191433797590975
0.5,1500,effective_rank,shuffled,-0.05690336227416992
0.5,1500,covariance_spectrum_entropy,shuffled,-0.023363173007965088
0.5,1500,mean_pairwise_distance_sketch,shuffled,-0.06833553314208984
0.5,1500,collapse_score,shuffled,0.004820967278791943
0.5,1500,component_rank_balance,shuffled,0.035633446735411356
0.5,1500,component_distance_balance,shuffled,0.02757782119920882
0.5,1500,effective_rank,time_shuffled,-4.625686168670654
0.5,1500,covariance_spectrum_entropy,time_shuffled,-1.0721164345741272
0.5,1500,mean_pairwise_distance_sketch,time_shuffled,-0.49065327644348145
0.5,1500,collapse_score,time_shuffled,0.16900360058140518
0.5,1500,component_rank_balance,time_shuffled,-0.31239110140403475
0.5,1500,component_distance_balance,time_shuffled,-0.05325063609412245
0.5,1500,effective_rank,independent_alpha0,-0.04924511909484863
0.5,1500,covariance_spectrum_entropy,independent_alpha0,-0.02025049924850464
0.5,1500,mean_pairwise_distance_sketch,independent_alpha0,-0.05081677436828613
0.5,1500,collapse_score,independent_alpha0,0.004181389333772434
0.5,1500,component_rank_balance,independent_alpha0,0.03676063502147259
0.5,1500,component_distance_balance,independent_alpha0,0.0235922621725142
0.5,2400,effective_rank,product,-0.10482406616210938
0.5,2400,covariance_spectrum_entropy,product,-0.03304886817932129
0.5,2400,mean_pairwise_distance_sketch,product,0.0007359981536865234
0.5,2400,collapse_score,product,0.006023164585277074
0.5,2400,component_rank_balance,product,0.05799187822163265
0.5,2400,component_distance_balance,product,0.0041704551794837785
0.5,2400,effective_rank,shuffled,-0.10574555397033691
0.5,2400,covariance_spectrum_entropy,shuffled,-0.03333461284637451
0.5,2400,mean_pairwise_distance_sketch,shuffled,-0.007206439971923828
0.5,2400,collapse_score,shuffled,0.006074787950685584
0.5,2400,component_rank_balance,shuffled,0.058177107393277416
0.5,2400,component_distance_balance,shuffled,0.00044351875434789356
0.5,2400,effective_rank,time_shuffled,-5.38677716255188
0.5,2400,covariance_spectrum_entropy,time_shuffled,-1.0030978918075562
0.5,2400,mean_pairwise_distance_sketch,time_shuffled,-0.54327392578125
0.5,2400,collapse_score,time_shuffled,0.13754631763330444
0.5,2400,component_rank_balance,time_shuffled,-0.45299644943117395
0.5,2400,component_distance_balance,time_shuffled,-0.026902079577105886
0.5,2400,effective_rank,independent_alpha0,-0.10364317893981934
0.5,2400,covariance_spectrum_entropy,independent_alpha0,-0.03268253803253174
0.5,2400,mean_pairwise_distance_sketch,independent_alpha0,-0.007572054862976074
0.5,2400,collapse_score,independent_alpha0,0.005956976276783543
