metric_family,metric_name,probe_key,flow_mode,window,observed_recurrence_rate,control_name,control_quality,control_recurrence_mean,recurrence_excess_vs_this_control,control_match_flag,effect_direction,absolute_effect_size,comparison_count
growth,frontier_growth_ratio,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.0010577976105683817,1568
growth,frontier_growth_delta,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.00015285957469315315,1568
growth,log_frontier_growth_ratio,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.0008615818731685424,1568
support_turnover,support_turnover_rate,existing_low,constrained_window_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.0798017299608795,1568
support_turnover,new_signature_rate,existing_low,constrained_window_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.08313614017749278,1568
support_turnover,lost_signature_rate,existing_low,constrained_window_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_above_control,0.14899212489826738,1568
transition_matrix,transition_matrix_entropy,existing_low,constrained_window_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.13108615893854425,1568
transition_matrix,row_entropy_mean,existing_low,constrained_window_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.19031829575386539,1568
transition_matrix,transition_matrix_sparsity,existing_low,constrained_window_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.0937731666667734,1568
transition_matrix,off_diagonal_transform_mass,existing_low,constrained_window_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.2028099539665027,1568
branch_merge,branching_factor_mean,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,1,-1.0,1,design_above_control,0.2084580271824409,1568
branch_merge,merge_factor_mean,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.019349762053556287,1568
branch_merge,branch_merge_asymmetry,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.0010109376597683885,1568
bottleneck,frontier_bottleneck_index,existing_low,constrained_window_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_above_control,0.2043840717858783,1568
bottleneck,top_k_flow_concentration,existing_low,constrained_window_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.06644178051526604,1568
window_stability,window_metric_vector_l2_distance_to_next,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.046401137684238654,1344
transition_matrix,transition_matrix_js_to_next_window,existing_low,constrained_window_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.040118515131866386,1344
support_turnover,signature_distribution_js_to_next_window,existing_low,constrained_window_flow,all_windows,0.25,frontier_size_matched_window_control,computed,1,-0.75,1,design_below_control,0.1252873977984208,1344
growth,frontier_growth_ratio,existing_low,one_step_local_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.0010577976105683817,1568
growth,frontier_growth_delta,existing_low,one_step_local_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.00015285957469315315,1568
growth,log_frontier_growth_ratio,existing_low,one_step_local_flow,all_windows,0.0,frontier_size_matched_window_control,computed,0,0.0,1,control_equivalent,0.0008615818731685424,1568
support_turnover,support_turnover_rate,existing_low,one_step_local_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.0798017299608795,1568
support_turnover,new_signature_rate,existing_low,one_step_local_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.08313614017749278,1568
support_turnover,lost_signature_rate,existing_low,one_step_local_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_above_control,0.14899212489826738,1568
transition_matrix,transition_matrix_entropy,existing_low,one_step_local_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.1342447836788094,1568
transition_matrix,row_entropy_mean,existing_low,one_step_local_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.19937126529959392,1568
transition_matrix,transition_matrix_sparsity,existing_low,one_step_local_flow,all_windows,0.25,frontier_size_matched_window_control,computed,0,0.25,0,control_equivalent,0.0951948746378756,1568
transition_matrix,off_diagonal_transform_mass,existing_low,one_step_local_flow,all_windows,0.5,frontier_size_matched_window_control,computed,1,-0.5,1,design_below_control,0.2061387582892845,1568
