syndrome_id,probe_key,flow_mode,group_id,seed,start_index,window,component_count,scored_component_count,component_pass_count,syndrome_component_pass_fraction,syndrome_joint_pass,syndrome_signed_score_mean,syndrome_signed_score_min,syndrome_window_coherence_score,syndrome_direction_stability,decision_hint
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,3,1.0,1,0.03902669493717489,-0.3834581523731676,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,-0.23415529606929775,-0.6701253244965905,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,0.07441017511566371,-0.3834581523731676,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,-0.06125432346817232,-0.3452585213244666,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,2,3,1.5,0,0.6025078599177055,0.2614301563956921,1.0,stable_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,3,1.0,1,0.019164061544531735,-0.4357250810049161,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,-0.2269615762098382,-0.6560355490673238,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,0.06286987016382495,-0.4357250810049161,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,3,0,0.0,0,-0.060669543602239695,-0.35266351817052316,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,0->1,3,2,3,1.5,0,0.6058253191195958,0.27167117332586777,1.0,stable_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,1->2,3,3,3,1.0,1,0.11418806793039414,-0.3808206494870031,1.0,mixed_direction,joint_pass
