syndrome_id,probe_key,flow_mode,component_rows,scored_component_rows,component_pass_rows,component_pass_rate,mean_signed_z,control_equivalence_read
stabilizing_boundary_syndrome,constraint_profile_hash,constrained_window_flow,7840,7616,819,0.10753676470588236,-0.05131317528068484,control_equivalent_or_insufficient
transition_boundary_syndrome,constraint_profile_hash,constrained_window_flow,6272,6048,1349,0.2230489417989418,-0.05973479628952332,control_equivalent_or_insufficient
compression_funnel_syndrome,constraint_profile_hash,constrained_window_flow,7840,7840,712,0.09081632653061225,-0.11786938338386913,control_equivalent_or_insufficient
diffusive_noise_syndrome,constraint_profile_hash,constrained_window_flow,7840,7616,2397,0.31473214285714285,0.13273353443897912,control_equivalent_or_insufficient
recurrence_cascade_syndrome,constraint_profile_hash,constrained_window_flow,4704,2912,274,0.09409340659340659,-0.13826563278155035,control_equivalent_or_insufficient
stabilizing_boundary_syndrome,constraint_profile_hash,one_step_local_flow,7840,7616,844,0.11081932773109243,-0.05014223663825284,control_equivalent_or_insufficient
transition_boundary_syndrome,constraint_profile_hash,one_step_local_flow,6272,6048,1380,0.22817460317460317,-0.061189397713538596,control_equivalent_or_insufficient
compression_funnel_syndrome,constraint_profile_hash,one_step_local_flow,7840,7840,760,0.09693877551020408,-0.11764196395818739,control_equivalent_or_insufficient
diffusive_noise_syndrome,constraint_profile_hash,one_step_local_flow,7840,7616,2439,0.32024684873949577,0.12895421928189565,control_equivalent_or_insufficient
recurrence_cascade_syndrome,constraint_profile_hash,one_step_local_flow,4704,2912,282,0.09684065934065934,-0.13159375422147956,control_equivalent_or_insufficient
stabilizing_boundary_syndrome,constraint_violation_count_plus_local_tuple,constrained_window_flow,7840,7616,1159,0.15217962184873948,0.10599012582430974,control_equivalent_or_insufficient
transition_boundary_syndrome,constraint_violation_count_plus_local_tuple,constrained_window_flow,6272,6048,1164,0.19246031746031747,-0.08516798944048187,control_equivalent_or_insufficient
compression_funnel_syndrome,constraint_violation_count_plus_local_tuple,constrained_window_flow,7840,7840,1180,0.15051020408163265,0.01740647497147418,control_equivalent_or_insufficient
diffusive_noise_syndrome,constraint_violation_count_plus_local_tuple,constrained_window_flow,7840,7616,1472,0.19327731092436976,-0.0876843711696556,control_equivalent_or_insufficient
recurrence_cascade_syndrome,constraint_violation_count_plus_local_tuple,constrained_window_flow,4704,2912,553,0.18990384615384615,0.0878794910578401,control_equivalent_or_insufficient
stabilizing_boundary_syndrome,constraint_violation_count_plus_local_tuple,one_step_local_flow,7840,7616,1184,0.15546218487394958,0.11045804525311484,control_equivalent_or_insufficient
transition_boundary_syndrome,constraint_violation_count_plus_local_tuple,one_step_local_flow,6272,6048,1176,0.19444444444444445,-0.08710022060696186,control_equivalent_or_insufficient
compression_funnel_syndrome,constraint_violation_count_plus_local_tuple,one_step_local_flow,7840,7840,1191,0.15191326530612245,0.019824885160236543,control_equivalent_or_insufficient
diffusive_noise_syndrome,constraint_violation_count_plus_local_tuple,one_step_local_flow,7840,7616,1477,0.19393382352941177,-0.0958582171548321,control_equivalent_or_insufficient
recurrence_cascade_syndrome,constraint_violation_count_plus_local_tuple,one_step_local_flow,4704,2912,555,0.19059065934065933,0.0918088657188864,control_equivalent_or_insufficient
