syndrome_id,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,baseline_syndrome_rate,mechanism_control_syndrome_rate,syndrome_rate_delta,mechanism_dependency_score,generic_phase_score,roughness_robustness_score,roughness_brittleness_score,control_destructiveness_score,control_too_destructive_flag,decision_class,rate_context_count
SYN_A_low_growth_high_bottleneck_low_offdiag,asymmetry_flip_sweep_control,0.01,p0.01,0.026785714285714284,0.026785714285714284,0.0,0.0,1.0,,,0.1278736170645153,0,mechanism_independent_generic_phase_syndrome,4
SYN_A_low_growth_high_bottleneck_low_offdiag,asymmetry_flip_sweep_control,0.02,p0.02,0.026785714285714284,0.026785714285714284,0.0,0.0,1.0,,,0.2877734938236318,0,mechanism_independent_generic_phase_syndrome,4
SYN_A_low_growth_high_bottleneck_low_offdiag,roughness_resampled_transform_control,0.01,p0.01,0.026785714285714284,0.013392857142857142,0.013392857142857142,0.5,0.5,0.5,0.5,0.4688097483711592,0,control_equivalent_syndrome,4
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_resampled_generation_control,0.05,medium,0.026785714285714284,0.008928571428571428,0.017857142857142856,0.6666666666666666,0.3333333333333333,,,0.683265330632797,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_resampled_generation_control,0.2,strong,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,roughness_resampled_transform_control,0.02,p0.02,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,roughness_resampled_transform_control,0.05,p0.05,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,asymmetry_flip_sweep_control,0.05,p0.05,0.026785714285714284,0.013392857142857142,0.013392857142857142,0.5,0.5,,,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,asymmetry_flip_sweep_control,0.1,p0.10,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,asymmetry_flip_sweep_control,0.2,p0.20,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_resampled_generation_control,0.01,weak,0.026785714285714284,0.08258928571428571,-0.055803571428571425,0.0,3.0833333333333335,,,0.8442330031628598,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,roughness_resampled_transform_control,0.1,p0.10,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_A_low_growth_high_bottleneck_low_offdiag,roughness_resampled_transform_control,0.2,p0.20,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_B_high_turnover_high_offdiag_high_window_delta,asymmetry_flip_sweep_control,0.01,p0.01,0.0,0.0,0.0,0.0,0.0,,,0.1278736170645153,0,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,asymmetry_flip_sweep_control,0.02,p0.02,0.0,0.0,0.0,0.0,0.0,,,0.2877734938236318,0,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,roughness_resampled_transform_control,0.01,p0.01,0.0,0.005208333333333333,-0.005208333333333333,0.0,0.0,,0.0,0.4688097483711592,0,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_resampled_generation_control,0.05,medium,0.0,0.005208333333333333,-0.005208333333333333,0.0,0.0,,,0.683265330632797,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_resampled_generation_control,0.2,strong,0.0,0.028645833333333336,-0.028645833333333336,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,roughness_resampled_transform_control,0.02,p0.02,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,roughness_resampled_transform_control,0.05,p0.05,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,asymmetry_flip_sweep_control,0.05,p0.05,0.0,0.0,0.0,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,asymmetry_flip_sweep_control,0.1,p0.10,0.0,0.005208333333333333,-0.005208333333333333,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,asymmetry_flip_sweep_control,0.2,p0.20,0.0,0.015625,-0.015625,0.0,0.0,,,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_resampled_generation_control,0.01,weak,0.0,0.015625,-0.015625,0.0,0.0,,,0.8442330031628598,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,roughness_resampled_transform_control,0.1,p0.10,0.0,0.0078125,-0.0078125,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_B_high_turnover_high_offdiag_high_window_delta,roughness_resampled_transform_control,0.2,p0.20,0.0,0.06510416666666667,-0.06510416666666667,0.0,0.0,,0.0,1.0,1,no_measurable_syndrome,4
SYN_C_low_growth_high_concentration_low_entropy,asymmetry_flip_sweep_control,0.01,p0.01,0.026785714285714284,0.026785714285714284,0.0,0.0,1.0,,,0.1278736170645153,0,mechanism_independent_generic_phase_syndrome,4
SYN_C_low_growth_high_concentration_low_entropy,asymmetry_flip_sweep_control,0.02,p0.02,0.026785714285714284,0.026785714285714284,0.0,0.0,1.0,,,0.2877734938236318,0,mechanism_independent_generic_phase_syndrome,4
SYN_C_low_growth_high_concentration_low_entropy,roughness_resampled_transform_control,0.01,p0.01,0.026785714285714284,0.013392857142857142,0.013392857142857142,0.5,0.5,0.5,0.5,0.4688097483711592,0,control_equivalent_syndrome,4
SYN_C_low_growth_high_concentration_low_entropy,constraint_resampled_generation_control,0.05,medium,0.026785714285714284,0.015625,0.011160714285714284,0.41666666666666663,0.5833333333333334,,,0.683265330632797,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,constraint_resampled_generation_control,0.2,strong,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,,,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,roughness_resampled_transform_control,0.02,p0.02,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,roughness_resampled_transform_control,0.05,p0.05,0.026785714285714284,0.0,0.026785714285714284,1.0,0.0,0.0,1.0,1.0,1,control_too_destructive_underdetermined,4
SYN_C_low_growth_high_concentration_low_entropy,asymmetry_flip_sweep_control,0.05,p0.05,0.026785714285714284,0.013392857142857142,0.013392857142857142,0.5,0.5,,,1.0,1,control_too_destructive_underdetermined,4
