baseline_system_id,control_system_id,control_name,state_count_delta,edge_count_delta,mean_out_degree_delta,mean_in_degree_delta,reciprocity_delta,edge_jaccard_vs_baseline,control_destructiveness_score,control_too_destructive,constraint_count_delta_if_available,condition_id,mechanism_condition,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,control_too_destructive_flag,frontier_size_profile_delta,support_growth_baseline_delta,saturation_timing_delta
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.010_seed4572796,asymmetry_flip_sweep_control,0,0,0,0,0.0,0.9877300613496932,0.1278736170645153,0,0,asymmetry_flip_sweep_control:p0.01,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,0,0.1278736170645153,0.0633225472970281,0.125
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.020_seed4572796,asymmetry_flip_sweep_control,0,0,0,0,0.0,0.9776195320447609,0.2877734938236318,0,0,asymmetry_flip_sweep_control:p0.02,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,0,0.2877734938236318,0.10406949915903366,0.25
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,roughness_resampled_transform_control,0,0,0,0,-0.008230452674897137,0.9716024340770791,0.4688097483711592,0,0,roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,0,0.4688097483711592,0.13490457712490342,0.375
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4577796,constraint_resampled_generation_control,0,0,0,0,-0.13580246913580246,0.2689295039164491,0.683265330632797,0,0,constraint_resampled_generation_control:medium,mechanism_control,constraint_resampled_generation_control,0.05,medium,1,0.683265330632797,0.3082365279947917,0.625
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4592796,constraint_resampled_generation_control,0,0,0,0,-0.06172839506172839,0.32515337423312884,1.0,0,0,constraint_resampled_generation_control:strong,mechanism_control,constraint_resampled_generation_control,0.2,strong,1,1.0331497830058383,0.38459668239735967,0.9375
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.020_seed4572796,roughness_resampled_transform_control,0,0,0,0,-0.01646090534979422,0.9537688442211055,1.0,0,0,roughness_resampled_transform_control:p0.02,mechanism_control,roughness_resampled_transform_control,0.02,p0.02,1,1.2248375944611873,0.311868843804244,0.9375
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.050_seed4572796,roughness_resampled_transform_control,0,0,0,0,-0.04526748971193417,0.8728323699421965,1.0,0,0,roughness_resampled_transform_control:p0.05,mechanism_control,roughness_resampled_transform_control,0.05,p0.05,1,1.7618227992946767,0.42921944475483526,1.25
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,roughness_resampled_transform_control,0,0,0,0,-0.008230452674897137,0.9716024340770791,0.4688097483711592,0,0,roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,0,0.4688097483711592,0.13490457712490342,0.375
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.050_seed4572796,asymmetry_flip_sweep_control,0,0,0,0,0.0,0.944,1.0,0,0,asymmetry_flip_sweep_control:p0.05,mechanism_control,asymmetry_flip_sweep_control,0.05,p0.05,1,1.5575348878055841,0.370746498203838,1.0625
relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.100_seed4572796,asymmetry_flip_sweep_control,0,0,0,0,0.0,0.8892128279883382,1.0,0,0,asymmetry_flip_sweep_control:p0.10,mechanism_control,asymmetry_flip_sweep_control,0.1,p0.10,1,2.168821725702862,0.5435379675688836,1.4375
