condition_id,mechanism_condition,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,syndrome_id,probe_key,flow_mode,syndrome_rate,complete_unit_count,component_marginal_rates_json
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.1875, ""growth_low"": 0.125, ""offdiag_low"": 0.42857142857142855}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.08333333333333333, ""turnover_high"": 0.125, ""window_delta_high"": 0.041666666666666664}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,0.017857142857142856,112,"{""concentration_high"": 0.1875, ""growth_low"": 0.125, ""transition_entropy_low"": 0.17857142857142858}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.1875, ""transition_entropy_high"": 0.17857142857142858, ""turnover_high"": 0.10714285714285714}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.19642857142857142, ""growth_low"": 0.13392857142857142, ""offdiag_low"": 0.4732142857142857}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.08333333333333333, ""turnover_high"": 0.13541666666666666, ""window_delta_high"": 0.041666666666666664}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,0.017857142857142856,112,"{""concentration_high"": 0.1875, ""growth_low"": 0.13392857142857142, ""transition_entropy_low"": 0.1875}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,0.0,112,"{""bottleneck_low"": 0.19642857142857142, ""transition_entropy_high"": 0.21428571428571427, ""turnover_high"": 0.11607142857142858}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.03571428571428571,112,"{""bottleneck_high"": 0.3125, ""growth_low"": 0.125, ""offdiag_low"": 0.42857142857142855}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.10416666666666667, ""window_delta_high"": 0.0625}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.03571428571428571,112,"{""concentration_high"": 0.29464285714285715, ""growth_low"": 0.125, ""transition_entropy_low"": 0.39285714285714285}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.03571428571428571, ""transition_entropy_high"": 0.017857142857142856, ""turnover_high"": 0.08928571428571429}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.03571428571428571,112,"{""bottleneck_high"": 0.33035714285714285, ""growth_low"": 0.13392857142857142, ""offdiag_low"": 0.45535714285714285}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.10416666666666667, ""window_delta_high"": 0.0625}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.03571428571428571,112,"{""concentration_high"": 0.29464285714285715, ""growth_low"": 0.13392857142857142, ""transition_entropy_low"": 0.4017857142857143}"
,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,112,"{""bottleneck_low"": 0.044642857142857144, ""transition_entropy_high"": 0.017857142857142856, ""turnover_high"": 0.08928571428571429}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.1875, ""growth_low"": 0.10714285714285714, ""offdiag_low"": 0.42857142857142855}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.08333333333333333, ""turnover_high"": 0.14583333333333334, ""window_delta_high"": 0.041666666666666664}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,0.017857142857142856,112,"{""concentration_high"": 0.1875, ""growth_low"": 0.10714285714285714, ""transition_entropy_low"": 0.17857142857142858}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.22321428571428573, ""transition_entropy_high"": 0.25892857142857145, ""turnover_high"": 0.125}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.19642857142857142, ""growth_low"": 0.11607142857142858, ""offdiag_low"": 0.4732142857142857}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.08333333333333333, ""turnover_high"": 0.16666666666666666, ""window_delta_high"": 0.052083333333333336}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,0.017857142857142856,112,"{""concentration_high"": 0.1875, ""growth_low"": 0.11607142857142858, ""transition_entropy_low"": 0.1875}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,0.008928571428571428,112,"{""bottleneck_low"": 0.24107142857142858, ""transition_entropy_high"": 0.25892857142857145, ""turnover_high"": 0.14285714285714285}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.03571428571428571,112,"{""bottleneck_high"": 0.30357142857142855, ""growth_low"": 0.10714285714285714, ""offdiag_low"": 0.42857142857142855}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.11458333333333333, ""window_delta_high"": 0.0625}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.03571428571428571,112,"{""concentration_high"": 0.29464285714285715, ""growth_low"": 0.10714285714285714, ""transition_entropy_low"": 0.36607142857142855}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.044642857142857144, ""transition_entropy_high"": 0.044642857142857144, ""turnover_high"": 0.09821428571428571}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.03571428571428571,112,"{""bottleneck_high"": 0.3125, ""growth_low"": 0.11607142857142858, ""offdiag_low"": 0.45535714285714285}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.11458333333333333, ""window_delta_high"": 0.0625}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.03571428571428571,112,"{""concentration_high"": 0.29464285714285715, ""growth_low"": 0.11607142857142858, ""transition_entropy_low"": 0.375}"
,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,112,"{""bottleneck_low"": 0.044642857142857144, ""transition_entropy_high"": 0.026785714285714284, ""turnover_high"": 0.09821428571428571}"
,baseline,baseline_unperturbed,0.0,baseline,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.19642857142857142, ""growth_low"": 0.16964285714285715, ""offdiag_low"": 0.29464285714285715}"
,baseline,baseline_unperturbed,0.0,baseline,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.08333333333333333, ""turnover_high"": 0.11458333333333333, ""window_delta_high"": 0.041666666666666664}"
