composition_id,source_distinction_id,middle_distinction_id,target_distinction_id,first_best_success,second_best_success,composed_best_success,product_success_reference,composition_read,claim_boundary
comp_bitflip_0_10_then_0_25,D_A,E_A,E_A,0.9,0.75,0.7,0.675,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_bitflip_0_10_then_0_25,D_B,E_B,E_B,0.9,0.75,0.7,0.675,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_bitflip_0_10_then_0_25,D_joint,E_joint,E_joint,0.81,0.5625,0.49,0.45562500000000006,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_bitflip_0_10_then_0_25,D_parity,E_parity,E_parity,0.82,0.625,0.58,0.5125,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_bitflip_0_10_then_0_25,D_trivial,E_trivial,E_trivial,1.0,1.0,1.0,1.0,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_identity_then_marginal_degrade_0_10,D_A,E_A,E_A,1.0,0.95,0.95,0.95,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_identity_then_marginal_degrade_0_10,D_B,E_B,E_B,1.0,0.95,0.95,0.95,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_identity_then_marginal_degrade_0_10,D_joint,E_joint,E_joint,1.0,0.9,0.9,0.9,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_identity_then_marginal_degrade_0_10,D_parity,E_parity,E_parity,1.0,0.9,0.9,0.9,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
comp_identity_then_marginal_degrade_0_10,D_trivial,E_trivial,E_trivial,1.0,1.0,1.0,1.0,measured_probability_not_theorem,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
