distinction_id,carrier_id,state_count,declared_label_count,observed_label_count,all_states_labeled,observed_subset_of_declared,status
D_A,X2,4,2,2,1,1,PASS
D_B,X2,4,2,2,1,1,PASS
D_joint,X2,4,4,4,1,1,PASS
D_parity,X2,4,2,2,1,1,PASS
D_trivial,X2,4,1,1,1,1,PASS
E_A,Y2,4,2,2,1,1,PASS
E_B,Y2,4,2,2,1,1,PASS
E_joint,Y2,4,4,4,1,1,PASS
E_parity,Y2,4,2,2,1,1,PASS
E_trivial,Y2,4,1,1,1,1,PASS
E_A_marg,Y_A,2,2,2,1,1,PASS
E_trivial_A,Y_A,2,1,1,1,1,PASS
E_B_marg,Y_B,2,2,2,1,1,PASS
E_trivial_B,Y_B,2,1,1,1,1,PASS
E_trivial_star,Y_star,1,1,1,1,1,PASS
