channel_id,source_carrier_id,target_carrier_id,source_state,target_state,probability,probability_fraction,claim_boundary,support,support_rule
identity_channel,X2,Y2,00,00,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
identity_channel,X2,Y2,01,01,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
identity_channel,X2,Y2,10,10,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
identity_channel,X2,Y2,11,11,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
total_erasure_channel,X2,Y_star,00,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
total_erasure_channel,X2,Y_star,01,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
total_erasure_channel,X2,Y_star,10,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
total_erasure_channel,X2,Y_star,11,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_A_channel,X2,Y_A,00,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_A_channel,X2,Y_A,01,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_A_channel,X2,Y_A,10,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_A_channel,X2,Y_A,11,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_B_channel,X2,Y_B,00,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_B_channel,X2,Y_B,01,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_B_channel,X2,Y_B,10,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
projection_B_channel,X2,Y_B,11,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_00,X2,Y2,00,00,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_00,X2,Y2,01,01,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_00,X2,Y2,10,10,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_00,X2,Y2,11,11,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,00,00,0.9025,361/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,00,01,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,00,10,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,00,11,0.0025,1/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,01,00,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,01,01,0.9025,361/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,01,10,0.0025,1/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,01,11,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,10,00,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,10,01,0.0025,1/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,10,10,0.9025,361/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,10,11,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,11,00,0.0025,1/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,11,01,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,11,10,0.0475,19/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_05,X2,Y2,11,11,0.9025,361/400,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,00,00,0.81,81/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,00,01,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,00,10,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,00,11,0.01,1/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,01,00,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,01,01,0.81,81/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,01,10,0.01,1/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,01,11,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,10,00,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,10,01,0.01,1/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,10,10,0.81,81/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,10,11,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,11,00,0.01,1/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,11,01,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,11,10,0.09,9/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_10,X2,Y2,11,11,0.81,81/100,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,00,00,0.5625,9/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,00,01,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,00,10,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,00,11,0.0625,1/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,01,00,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,01,01,0.5625,9/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,01,10,0.0625,1/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,01,11,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,10,00,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,10,01,0.0625,1/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,10,10,0.5625,9/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
bit_flip_p_0_25,X2,Y2,10,11,0.1875,3/16,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim",1,K(y|x) > 0
