cascade_id,distinction_id,decoder_policy_id,total_path_mass,first_stage_error_mass,second_stage_error_mass,composite_error_mass,composed_channel_error_mass,composite_error_equals_composed_error,first_stage_error_rate_same_denominator,second_stage_error_rate_same_denominator,composite_error_rate_same_denominator
comp_bitflip_0_10_then_0_25,D_A,fixed_declared_target_distinction,6400,640,1600,1920,1920,1,1/10,1/4,3/10
comp_bitflip_0_10_then_0_25,D_B,fixed_declared_target_distinction,6400,640,1600,1920,1920,1,1/10,1/4,3/10
comp_bitflip_0_10_then_0_25,D_joint,fixed_declared_target_distinction,6400,1216,2800,3264,3264,1,19/100,7/16,51/100
comp_bitflip_0_10_then_0_25,D_parity,fixed_declared_target_distinction,6400,1152,2400,2688,2688,1,9/50,3/8,21/50
comp_bitflip_0_10_then_0_25,D_trivial,fixed_declared_target_distinction,6400,0,0,0,0,1,0,0,0
comp_identity_then_marginal_degrade_0_10,D_A,fixed_declared_target_distinction,80,0,4,4,4,1,0,1/20,1/20
comp_identity_then_marginal_degrade_0_10,D_B,fixed_declared_target_distinction,80,0,4,4,4,1,0,1/20,1/20
comp_identity_then_marginal_degrade_0_10,D_joint,fixed_declared_target_distinction,80,0,8,8,8,1,0,1/10,1/10
comp_identity_then_marginal_degrade_0_10,D_parity,fixed_declared_target_distinction,80,0,8,8,8,1,0,1/10,1/10
comp_identity_then_marginal_degrade_0_10,D_trivial,fixed_declared_target_distinction,80,0,0,0,0,1,0,0,0
