cascade_id,composition_id,first_channel_id,second_channel_id,composed_channel_id,source_distinction_id,intermediate_distinction_id,target_distinction_id,prior_id,decoder_policy_id,first_decoder_id,second_decoder_id,composed_decoder_id,path_ensemble_rule,theorem_bridge,status,claim_boundary
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,bit_flip_p_0_10,y2_bit_flip_p_0_25,comp_bitflip_0_10_then_0_25,D_A,E_A,E_A,uniform_X2,fixed_declared_target_distinction,dec::bit_flip_p_0_10::D_A::E_A::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_A::E_A::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_A::E_A::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_A::E_A::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,bit_flip_p_0_10,y2_bit_flip_p_0_25,comp_bitflip_0_10_then_0_25,D_B,E_B,E_B,uniform_X2,fixed_declared_target_distinction,dec::bit_flip_p_0_10::D_B::E_B::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_B::E_B::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_B::E_B::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_B::E_B::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,bit_flip_p_0_10,y2_bit_flip_p_0_25,comp_bitflip_0_10_then_0_25,D_joint,E_joint,E_joint,uniform_X2,fixed_declared_target_distinction,dec::bit_flip_p_0_10::D_joint::E_joint::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_joint::E_joint::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_joint::E_joint::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_joint::E_joint::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,bit_flip_p_0_10,y2_bit_flip_p_0_25,comp_bitflip_0_10_then_0_25,D_parity,E_parity,E_parity,uniform_X2,fixed_declared_target_distinction,dec::bit_flip_p_0_10::D_parity::E_parity::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_parity::E_parity::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_parity::E_parity::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_parity::E_parity::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,bit_flip_p_0_10,y2_bit_flip_p_0_25,comp_bitflip_0_10_then_0_25,D_trivial,E_trivial,E_trivial,uniform_X2,fixed_declared_target_distinction,dec::bit_flip_p_0_10::D_trivial::E_trivial::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_trivial::E_trivial::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_trivial::E_trivial::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_trivial::E_trivial::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,identity_channel,y2_marginal_joint_degrade_q_0_10,comp_identity_then_marginal_degrade_0_10,D_A,E_A,E_A,uniform_X2,fixed_declared_target_distinction,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_A::E_A::bayes_optimal_decoder,composed::dec::identity_channel::D_A::E_A::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_A::E_A::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,identity_channel,y2_marginal_joint_degrade_q_0_10,comp_identity_then_marginal_degrade_0_10,D_B,E_B,E_B,uniform_X2,fixed_declared_target_distinction,dec::identity_channel::D_B::E_B::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_B::E_B::bayes_optimal_decoder,composed::dec::identity_channel::D_B::E_B::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_B::E_B::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,identity_channel,y2_marginal_joint_degrade_q_0_10,comp_identity_then_marginal_degrade_0_10,D_joint,E_joint,E_joint,uniform_X2,fixed_declared_target_distinction,dec::identity_channel::D_joint::E_joint::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_joint::E_joint::bayes_optimal_decoder,composed::dec::identity_channel::D_joint::E_joint::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_joint::E_joint::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,identity_channel,y2_marginal_joint_degrade_q_0_10,comp_identity_then_marginal_degrade_0_10,D_parity,E_parity,E_parity,uniform_X2,fixed_declared_target_distinction,dec::identity_channel::D_parity::E_parity::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_parity::E_parity::bayes_optimal_decoder,composed::dec::identity_channel::D_parity::E_parity::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_parity::E_parity::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,identity_channel,y2_marginal_joint_degrade_q_0_10,comp_identity_then_marginal_degrade_0_10,D_trivial,E_trivial,E_trivial,uniform_X2,fixed_declared_target_distinction,dec::identity_channel::D_trivial::E_trivial::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_trivial::E_trivial::bayes_optimal_decoder,composed::dec::identity_channel::D_trivial::E_trivial::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_trivial::E_trivial::bayes_optimal_decoder,"mass(x,y,z)=pi(x)*K(y|x)*L(z|y)",finite cascade error bound over same path ensemble,complete,"finite stochastic channel theorem-transfer audit; support/probability separation, decoder-policy provenance, and cascade error-bound applicability only"
