cascade_id,distinction_id,decoder_policy_id,path_count,positive_path_count,total_path_mass,composed_channel_total_mass,path_total_equals_composed_total,status,notes
comp_bitflip_0_10_then_0_25,D_A,fixed_declared_target_distinction,64,64,6400,6400,1,PASS,composed total computed from generated natural cascade weights
comp_bitflip_0_10_then_0_25,D_B,fixed_declared_target_distinction,64,64,6400,6400,1,PASS,composed total computed from generated natural cascade weights
comp_bitflip_0_10_then_0_25,D_joint,fixed_declared_target_distinction,64,64,6400,6400,1,PASS,composed total computed from generated natural cascade weights
comp_bitflip_0_10_then_0_25,D_parity,fixed_declared_target_distinction,64,64,6400,6400,1,PASS,composed total computed from generated natural cascade weights
comp_bitflip_0_10_then_0_25,D_trivial,fixed_declared_target_distinction,64,64,6400,6400,1,PASS,composed total computed from generated natural cascade weights
comp_identity_then_marginal_degrade_0_10,D_A,fixed_declared_target_distinction,64,12,80,80,1,PASS,composed total computed from generated natural cascade weights
comp_identity_then_marginal_degrade_0_10,D_B,fixed_declared_target_distinction,64,12,80,80,1,PASS,composed total computed from generated natural cascade weights
comp_identity_then_marginal_degrade_0_10,D_joint,fixed_declared_target_distinction,64,12,80,80,1,PASS,composed total computed from generated natural cascade weights
comp_identity_then_marginal_degrade_0_10,D_parity,fixed_declared_target_distinction,64,12,80,80,1,PASS,composed total computed from generated natural cascade weights
comp_identity_then_marginal_degrade_0_10,D_trivial,fixed_declared_target_distinction,64,12,80,80,1,PASS,composed total computed from generated natural cascade weights
