channel_id,row_id,source_state,target_state,probability_value,probability_fraction,natural_weight,row_weight_total,realization_status,notes
asym_A_erased_B_preserved,asym_A_erased_B_preserved::00,00,00,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::00,00,01,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::00,00,10,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::00,00,11,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::01,01,00,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::01,01,01,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::01,01,10,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::01,01,11,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::10,10,00,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::10,10,01,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::10,10,10,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::10,10,11,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::11,11,00,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::11,11,01,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::11,11,10,0.0,0,0,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_erased_B_preserved,asym_A_erased_B_preserved::11,11,11,0.5,1/2,1,2,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::00,00,00,0.75,3/4,3,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::00,00,01,0.0,0,0,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::00,00,10,0.25,1/4,1,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::00,00,11,0.0,0,0,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::01,01,00,0.0,0,0,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::01,01,01,0.75,3/4,3,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::01,01,10,0.0,0,0,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::01,01,11,0.25,1/4,1,4,exact,row-scaled natural weights for finite Lean-style channel realization
asym_A_noisy_B_preserved_p_0_25,asym_A_noisy_B_preserved_p_0_25::10,10,00,0.25,1/4,1,4,exact,row-scaled natural weights for finite Lean-style channel realization
