object_kind,object_id,observed_weight_total,declared_weight_total,positive_total,exact_rationalized,status
channel_row,asym_A_erased_B_preserved::00,2,2,1,1,PASS
channel_row,asym_A_erased_B_preserved::01,2,2,1,1,PASS
channel_row,asym_A_erased_B_preserved::10,2,2,1,1,PASS
channel_row,asym_A_erased_B_preserved::11,2,2,1,1,PASS
channel_row,asym_A_noisy_B_preserved_p_0_25::00,4,4,1,1,PASS
channel_row,asym_A_noisy_B_preserved_p_0_25::01,4,4,1,1,PASS
channel_row,asym_A_noisy_B_preserved_p_0_25::10,4,4,1,1,PASS
channel_row,asym_A_noisy_B_preserved_p_0_25::11,4,4,1,1,PASS
channel_row,asym_A_preserved_B_noisy_p_0_25::00,4,4,1,1,PASS
channel_row,asym_A_preserved_B_noisy_p_0_25::01,4,4,1,1,PASS
channel_row,asym_A_preserved_B_noisy_p_0_25::10,4,4,1,1,PASS
channel_row,asym_A_preserved_B_noisy_p_0_25::11,4,4,1,1,PASS
channel_row,asym_B_erased_A_preserved::00,2,2,1,1,PASS
channel_row,asym_B_erased_A_preserved::01,2,2,1,1,PASS
channel_row,asym_B_erased_A_preserved::10,2,2,1,1,PASS
channel_row,asym_B_erased_A_preserved::11,2,2,1,1,PASS
channel_row,bit_flip_p_0_00::00,1,1,1,1,PASS
channel_row,bit_flip_p_0_00::01,1,1,1,1,PASS
channel_row,bit_flip_p_0_00::10,1,1,1,1,PASS
channel_row,bit_flip_p_0_00::11,1,1,1,1,PASS
channel_row,bit_flip_p_0_05::00,400,400,1,1,PASS
channel_row,bit_flip_p_0_05::01,400,400,1,1,PASS
channel_row,bit_flip_p_0_05::10,400,400,1,1,PASS
channel_row,bit_flip_p_0_05::11,400,400,1,1,PASS
channel_row,bit_flip_p_0_10::00,100,100,1,1,PASS
channel_row,bit_flip_p_0_10::01,100,100,1,1,PASS
channel_row,bit_flip_p_0_10::10,100,100,1,1,PASS
channel_row,bit_flip_p_0_10::11,100,100,1,1,PASS
channel_row,bit_flip_p_0_25::00,16,16,1,1,PASS
channel_row,bit_flip_p_0_25::01,16,16,1,1,PASS
channel_row,bit_flip_p_0_25::10,16,16,1,1,PASS
channel_row,bit_flip_p_0_25::11,16,16,1,1,PASS
channel_row,bit_flip_p_0_50::00,4,4,1,1,PASS
channel_row,bit_flip_p_0_50::01,4,4,1,1,PASS
channel_row,bit_flip_p_0_50::10,4,4,1,1,PASS
channel_row,bit_flip_p_0_50::11,4,4,1,1,PASS
channel_row,comp_bitflip_0_10_then_0_25::00,100,100,1,1,PASS
channel_row,comp_bitflip_0_10_then_0_25::01,100,100,1,1,PASS
channel_row,comp_bitflip_0_10_then_0_25::10,100,100,1,1,PASS
channel_row,comp_bitflip_0_10_then_0_25::11,100,100,1,1,PASS
channel_row,comp_identity_then_marginal_degrade_0_10::00,20,20,1,1,PASS
channel_row,comp_identity_then_marginal_degrade_0_10::01,20,20,1,1,PASS
channel_row,comp_identity_then_marginal_degrade_0_10::10,20,20,1,1,PASS
channel_row,comp_identity_then_marginal_degrade_0_10::11,20,20,1,1,PASS
channel_row,identity_channel::00,1,1,1,1,PASS
channel_row,identity_channel::01,1,1,1,1,PASS
channel_row,identity_channel::10,1,1,1,1,PASS
channel_row,identity_channel::11,1,1,1,1,PASS
channel_row,marginal_joint_degrade_q_0_10::00,20,20,1,1,PASS
channel_row,marginal_joint_degrade_q_0_10::01,20,20,1,1,PASS
channel_row,marginal_joint_degrade_q_0_10::10,20,20,1,1,PASS
channel_row,marginal_joint_degrade_q_0_10::11,20,20,1,1,PASS
channel_row,marginal_joint_degrade_q_0_20::00,10,10,1,1,PASS
channel_row,marginal_joint_degrade_q_0_20::01,10,10,1,1,PASS
channel_row,marginal_joint_degrade_q_0_20::10,10,10,1,1,PASS
channel_row,marginal_joint_degrade_q_0_20::11,10,10,1,1,PASS
channel_row,output_marginal_matched_uniform::00,4,4,1,1,PASS
channel_row,output_marginal_matched_uniform::01,4,4,1,1,PASS
channel_row,output_marginal_matched_uniform::10,4,4,1,1,PASS
channel_row,output_marginal_matched_uniform::11,4,4,1,1,PASS
channel_row,projection_A_channel::00,1,1,1,1,PASS
channel_row,projection_A_channel::01,1,1,1,1,PASS
channel_row,projection_A_channel::10,1,1,1,1,PASS
channel_row,projection_A_channel::11,1,1,1,1,PASS
channel_row,projection_B_channel::00,1,1,1,1,PASS
channel_row,projection_B_channel::01,1,1,1,1,PASS
channel_row,projection_B_channel::10,1,1,1,1,PASS
channel_row,projection_B_channel::11,1,1,1,1,PASS
channel_row,random_channel_same_output_entropy_seed_17::00,8,8,1,1,PASS
channel_row,random_channel_same_output_entropy_seed_17::01,8,8,1,1,PASS
channel_row,random_channel_same_output_entropy_seed_17::10,8,8,1,1,PASS
channel_row,random_channel_same_output_entropy_seed_17::11,8,8,1,1,PASS
channel_row,total_erasure_channel::00,1,1,1,1,PASS
channel_row,total_erasure_channel::01,1,1,1,1,PASS
channel_row,total_erasure_channel::10,1,1,1,1,PASS
channel_row,total_erasure_channel::11,1,1,1,1,PASS
channel_row,y2_bit_flip_p_0_25::00,16,16,1,1,PASS
channel_row,y2_bit_flip_p_0_25::01,16,16,1,1,PASS
channel_row,y2_bit_flip_p_0_25::10,16,16,1,1,PASS
channel_row,y2_bit_flip_p_0_25::11,16,16,1,1,PASS
channel_row,y2_identity_channel::00,1,1,1,1,PASS
channel_row,y2_identity_channel::01,1,1,1,1,PASS
channel_row,y2_identity_channel::10,1,1,1,1,PASS
channel_row,y2_identity_channel::11,1,1,1,1,PASS
channel_row,y2_marginal_joint_degrade_q_0_10::00,20,20,1,1,PASS
channel_row,y2_marginal_joint_degrade_q_0_10::01,20,20,1,1,PASS
channel_row,y2_marginal_joint_degrade_q_0_10::10,20,20,1,1,PASS
channel_row,y2_marginal_joint_degrade_q_0_10::11,20,20,1,1,PASS
source_prior,uniform_X2,4,4,1,1,PASS
source_prior,uniform_Y2,4,4,1,1,PASS
