object_kind,object_id,source_value,rational_numerator,rational_denominator,exact_rationalized,max_denominator_used,rationalization_error,status
channel_probability,identity_channel::00->00,1,1,1,1,1,0,exact
channel_probability,identity_channel::00->01,0,0,1,1,1,0,exact
channel_probability,identity_channel::00->10,0,0,1,1,1,0,exact
channel_probability,identity_channel::00->11,0,0,1,1,1,0,exact
channel_probability,identity_channel::01->00,0,0,1,1,1,0,exact
channel_probability,identity_channel::01->01,1,1,1,1,1,0,exact
channel_probability,identity_channel::01->10,0,0,1,1,1,0,exact
channel_probability,identity_channel::01->11,0,0,1,1,1,0,exact
channel_probability,identity_channel::10->00,0,0,1,1,1,0,exact
channel_probability,identity_channel::10->01,0,0,1,1,1,0,exact
channel_probability,identity_channel::10->10,1,1,1,1,1,0,exact
channel_probability,identity_channel::10->11,0,0,1,1,1,0,exact
channel_probability,identity_channel::11->00,0,0,1,1,1,0,exact
channel_probability,identity_channel::11->01,0,0,1,1,1,0,exact
channel_probability,identity_channel::11->10,0,0,1,1,1,0,exact
channel_probability,identity_channel::11->11,1,1,1,1,1,0,exact
channel_probability,total_erasure_channel::00->*,1,1,1,1,1,0,exact
channel_probability,total_erasure_channel::01->*,1,1,1,1,1,0,exact
channel_probability,total_erasure_channel::10->*,1,1,1,1,1,0,exact
channel_probability,total_erasure_channel::11->*,1,1,1,1,1,0,exact
channel_probability,projection_A_channel::00->0,1,1,1,1,1,0,exact
channel_probability,projection_A_channel::00->1,0,0,1,1,1,0,exact
channel_probability,projection_A_channel::01->0,1,1,1,1,1,0,exact
channel_probability,projection_A_channel::01->1,0,0,1,1,1,0,exact
channel_probability,projection_A_channel::10->0,0,0,1,1,1,0,exact
channel_probability,projection_A_channel::10->1,1,1,1,1,1,0,exact
channel_probability,projection_A_channel::11->0,0,0,1,1,1,0,exact
channel_probability,projection_A_channel::11->1,1,1,1,1,1,0,exact
channel_probability,projection_B_channel::00->0,1,1,1,1,1,0,exact
channel_probability,projection_B_channel::00->1,0,0,1,1,1,0,exact
channel_probability,projection_B_channel::01->0,0,0,1,1,1,0,exact
channel_probability,projection_B_channel::01->1,1,1,1,1,1,0,exact
channel_probability,projection_B_channel::10->0,1,1,1,1,1,0,exact
channel_probability,projection_B_channel::10->1,0,0,1,1,1,0,exact
channel_probability,projection_B_channel::11->0,0,0,1,1,1,0,exact
channel_probability,projection_B_channel::11->1,1,1,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::00->00,1,1,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::00->01,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::00->10,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::00->11,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::01->00,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::01->01,1,1,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::01->10,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::01->11,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::10->00,0,0,1,1,1,0,exact
channel_probability,bit_flip_p_0_00::10->01,0,0,1,1,1,0,exact
