channel_id,source_state,target_state,natural_weight,row_weight_total,probability_fraction,registry_digest,manifest_bundle_digest
a_preserved_b_erased_channel,00,00,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,00,01,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,00,10,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,00,11,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,01,00,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,01,01,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,01,10,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,01,11,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,10,00,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,10,01,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,10,10,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,10,11,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,11,00,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,11,01,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,11,10,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,11,11,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,00,00,9,10,9/10,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,00,01,1,10,1/10,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,00,10,0,10,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
