distinction_id,carrier_id,distinction_role,label_set,labeling_rule,fixed_target_distinction_id,scope
D_A,X2,source,0;1,first bit,E_A,finite registry-first stochastic channel probe; provenance gap measurement only
D_B,X2,source,0;1,second bit,E_B,finite registry-first stochastic channel probe; provenance gap measurement only
D_joint,X2,source,00;01;10;11,ordered pair,E_joint,finite registry-first stochastic channel probe; provenance gap measurement only
D_parity,X2,source,0;1,xor of bits,E_parity,finite registry-first stochastic channel probe; provenance gap measurement only
D_trivial,X2,source,*,constant,E_trivial,finite registry-first stochastic channel probe; provenance gap measurement only
E_A,X2,target,0;1,first bit,,finite registry-first stochastic channel probe; provenance gap measurement only
E_B,X2,target,0;1,second bit,,finite registry-first stochastic channel probe; provenance gap measurement only
E_joint,X2,target,00;01;10;11,ordered pair,,finite registry-first stochastic channel probe; provenance gap measurement only
E_parity,X2,target,0;1,xor of bits,,finite registry-first stochastic channel probe; provenance gap measurement only
E_trivial,X2,target,*,constant,,finite registry-first stochastic channel probe; provenance gap measurement only
