cascade_id,source_distinction_id,target_distinction_id,source_state,intermediate_state,target_state,source_prior_weight,first_channel_weight,second_channel_weight,path_weight,source_distinction_label,intermediate_distinction_label,target_distinction_label,first_decoder_output,second_decoder_output,composed_decoder_output,first_stage_error,second_stage_error,composite_error,registry_digest,manifest_bundle_digest
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,00,00,00,1,1,9,9,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,00,00,01,1,1,1,1,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,01,01,00,1,1,1,1,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,01,01,01,1,1,9,9,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,10,10,10,1,1,9,9,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,10,10,11,1,1,1,1,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,11,11,10,1,1,1,1,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_A,E_A,11,11,11,1,1,9,9,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,00,00,00,1,1,9,9,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,00,00,01,1,1,1,1,0,0,1,0,1,1,0,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,01,01,00,1,1,1,1,1,1,0,1,0,0,0,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,01,01,01,1,1,9,9,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,10,10,10,1,1,9,9,0,0,0,0,0,0,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,10,10,11,1,1,1,1,0,0,1,0,1,1,0,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,11,11,10,1,1,1,1,1,1,0,1,0,0,0,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
cascade_identity_then_b_flip_noise_9_1,D_B,E_B,11,11,11,1,1,9,9,1,1,1,1,1,1,0,0,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
