channel_id,row_weight_total,row_weight_total_constancy,global_scale_equivalence,probability_semantics_status,notes
a_flip_noise_9_1_channel,00:10;01:10;10:10;11:10,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
a_preserved_b_erased_channel,00:2;01:2;10:2;11:2,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_flip_noise_3_1_channel,00:4;01:4;10:4;11:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_flip_noise_9_1_channel,00:10;01:10;10:10;11:10,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_preserved_a_erased_channel,00:2;01:2;10:2;11:2,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
collapse_to_00_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
copy_a_to_b_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
identity_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
independent_bit_noise_81_9_9_1_channel,00:100;01:100;10:100;11:100,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
joint_cycle_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
parity_preserved_scramble_channel,00:2;01:2;10:2;11:2,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
parity_projector_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
swap_bits_channel,00:1;01:1;10:1;11:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
