distinction_id,carrier_id,distinction_role,label_set,labeling_rule,fixed_target_distinction_id,scope
D_A,X3,source,0;1,first bit,E_A,finite registry-first X3 stochastic channel probe; provenance gap measurement only
D_B,X3,source,0;1,second bit,E_B,finite registry-first X3 stochastic channel probe; provenance gap measurement only
D_C,X3,source,0;1,third bit,E_C,finite registry-first X3 stochastic channel probe; provenance gap measurement only
D_joint,X3,source,000;001;010;011;100;101;110;111,ordered triple,E_joint,finite registry-first X3 stochastic channel probe; provenance gap measurement only
D_parity,X3,source,0;1,xor of three bits,E_parity,finite registry-first X3 stochastic channel probe; provenance gap measurement only
D_trivial,X3,source,*,constant,E_trivial,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_A,X3,target,0;1,first bit,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_B,X3,target,0;1,second bit,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_C,X3,target,0;1,third bit,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_joint,X3,target,000;001;010;011;100;101;110;111,ordered triple,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_parity,X3,target,0;1,xor of three bits,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
E_trivial,X3,target,*,constant,,finite registry-first X3 stochastic channel probe; provenance gap measurement only
