channel_id,row_weight_total,row_weight_total_constancy,global_scale_equivalence,probability_semantics_status,notes
a_flip_noise_9_1_channel,000:10;001:10;010:10;011:10;100:10;101:10;110:10;111:10,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
a_preserved_bc_erased_channel,000:4;001:4;010:4;011:4;100:4;101:4;110:4;111:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
ab_preserved_c_erased_channel,000:2;001:2;010:2;011:2;100:2;101:2;110:2;111:2,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_flip_noise_3_1_channel,000:4;001:4;010:4;011:4;100:4;101:4;110:4;111:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_flip_noise_9_1_channel,000:10;001:10;010:10;011:10;100:10;101:10;110:10;111:10,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
b_preserved_ac_erased_channel,000:4;001:4;010:4;011:4;100:4;101:4;110:4;111:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
c_flip_noise_9_1_channel,000:10;001:10;010:10;011:10;100:10;101:10;110:10;111:10,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
c_preserved_ab_erased_channel,000:4;001:4;010:4;011:4;100:4;101:4;110:4;111:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
collapse_to_000_channel,000:1;001:1;010:1;011:1;100:1;101:1;110:1;111:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
copy_a_to_all_channel,000:1;001:1;010:1;011:1;100:1;101:1;110:1;111:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
identity_channel,000:1;001:1;010:1;011:1;100:1;101:1;110:1;111:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
independent_bit_noise_729_81_9_1_channel,000:1000;001:1000;010:1000;011:1000;100:1000;101:1000;110:1000;111:1000,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
joint_cycle_channel,000:1;001:1;010:1;011:1;100:1;101:1;110:1;111:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
parity_preserved_scramble_channel,000:4;001:4;010:4;011:4;100:4;101:4;110:4;111:4,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
rotate_bits_channel,000:1;001:1;010:1;011:1;100:1;101:1;110:1;111:1,constant,uniform_row_total,natural_weight_exact_probability_equivalent,finite natural weights are exact rational channel rows
