family,pair_id,total_cases,truncated_cases,truncation_fraction,variant,world_seed
A,0,65,26,0.4,reversible,0
A,0,65,26,0.4,irreversible,0
A,1,65,26,0.4,reversible,1
A,2,65,26,0.4,reversible,2
A,3,65,26,0.4,irreversible,3
A,3,65,26,0.4,reversible,3
A,2,65,26,0.4,irreversible,2
A,4,65,26,0.4,reversible,4
A,1,65,26,0.4,irreversible,1
A,7,65,26,0.4,reversible,7
A,5,65,26,0.4,reversible,5
A,4,65,26,0.4,irreversible,4
A,5,65,26,0.4,irreversible,5
A,7,65,26,0.4,irreversible,7
A,9,65,26,0.4,reversible,9
A,10,65,26,0.4,reversible,10
A,9,65,26,0.4,irreversible,9
A,10,65,26,0.4,irreversible,10
B,0,65,26,0.4,control,100
A,12,65,26,0.4,reversible,12
A,12,65,26,0.4,irreversible,12
A,13,65,26,0.4,irreversible,13
A,13,65,26,0.4,reversible,13
B,1,65,26,0.4,control,101
B,2,65,26,0.4,control,102
B,3,65,26,0.4,control,103
B,4,65,26,0.4,control,104
B,0,65,26,0.4,lure,100
A,6,65,13,0.2,reversible,6
A,8,65,13,0.2,reversible,8
A,8,65,13,0.2,irreversible,8
A,6,65,13,0.2,irreversible,6
B,5,65,26,0.4,control,105
B,6,65,26,0.4,control,106
B,1,65,26,0.4,lure,101
B,2,65,26,0.4,lure,102
B,4,65,26,0.4,lure,104
B,3,65,26,0.4,lure,103
B,5,65,26,0.4,lure,105
B,7,65,26,0.4,control,107
B,8,65,26,0.4,control,108
B,9,65,26,0.4,control,109
A,11,65,13,0.2,reversible,11
A,11,65,13,0.2,irreversible,11
A,14,65,13,0.2,reversible,14
A,14,65,13,0.2,irreversible,14
B,10,65,26,0.4,control,110
B,6,65,26,0.4,lure,106
B,12,65,26,0.4,control,112
B,7,65,26,0.4,lure,107
B,14,65,26,0.4,control,114
B,9,65,26,0.4,lure,109
B,8,65,26,0.4,lure,108
B,10,65,26,0.4,lure,110
B,13,65,26,0.4,lure,113
B,14,65,26,0.4,lure,114
B,12,65,26,0.4,lure,112
B,11,65,13,0.2,control,111
B,11,65,13,0.2,lure,111
B,13,65,13,0.2,control,113
C,0,65,13,0.2,ladder,200
C,1,65,13,0.2,ladder,201
C,2,65,13,0.2,ladder,202
C,3,65,13,0.2,ladder,203
C,5,65,13,0.2,ladder,205
C,6,65,13,0.2,ladder,206
C,7,65,13,0.2,ladder,207
C,8,65,13,0.2,ladder,208
C,9,65,13,0.2,ladder,209
C,10,65,13,0.2,ladder,210
C,11,65,13,0.2,ladder,211
C,14,65,13,0.2,ladder,214
C,13,65,13,0.2,ladder,213
D,0,65,26,0.4,budget,300
C,15,65,13,0.2,ladder,215
C,17,65,13,0.2,ladder,217
C,16,65,13,0.2,ladder,216
D,1,65,26,0.4,budget,301
C,4,65,0,0.0,ladder,204
D,4,65,26,0.4,budget,304
C,18,65,13,0.2,ladder,218
C,19,65,13,0.2,ladder,219
D,3,65,26,0.4,budget,303
C,21,65,13,0.2,ladder,221
C,20,65,13,0.2,ladder,220
C,22,65,13,0.2,ladder,222
D,5,65,26,0.4,budget,305
C,23,65,13,0.2,ladder,223
C,24,65,13,0.2,ladder,224
D,6,65,26,0.4,budget,306
C,25,65,13,0.2,ladder,225
D,8,65,26,0.4,budget,308
D,10,65,26,0.4,budget,310
D,9,65,26,0.4,budget,309
D,12,65,26,0.4,budget,312
D,11,65,26,0.4,budget,311
C,26,65,13,0.2,ladder,226
C,27,65,13,0.2,ladder,227
C,12,65,0,0.0,ladder,212
D,13,65,26,0.4,budget,313
D,14,65,26,0.4,budget,314
D,15,65,26,0.4,budget,315
C,28,65,13,0.2,ladder,228
D,17,65,26,0.4,budget,317
D,18,65,26,0.4,budget,318
D,20,65,26,0.4,budget,320
C,29,65,13,0.2,ladder,229
D,19,65,26,0.4,budget,319
D,22,65,26,0.4,budget,322
D,24,65,26,0.4,budget,324
D,23,65,26,0.4,budget,323
D,25,65,26,0.4,budget,325
D,27,65,26,0.4,budget,327
D,29,65,26,0.4,budget,329
D,21,65,13,0.2,budget,321
D,16,65,13,0.2,budget,316
D,26,65,13,0.2,budget,326
D,2,65,13,0.2,budget,302
D,7,65,13,0.2,budget,307
D,28,65,26,0.4,budget,328
