coarse_name,collapse,early_mean,fake_short_horizon_lure_detected,horizon_coherence_score,late_mean,pair_id,variant
identity,0.0,0.0,0,1.0,0.0,0,control
all_one,0.0,0.0,0,1.0,0.0,0,control
random_k,0.0,0.0,0,1.0,0.0,0,control
checkerboard,0.0,0.0,0,1.0,0.0,0,control
region,0.0,0.0,0,1.0,0.0,0,control
viability_signature,0.0,0.0,0,1.0,0.0,0,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,0,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,0,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,0,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,0,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,0,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,0,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,0,control
identity,0.0,0.0,0,1.0,0.0,1,control
all_one,0.0,0.0,0,1.0,0.0,1,control
random_k,0.0,0.0,0,1.0,0.0,1,control
checkerboard,0.0,0.0,0,1.0,0.0,1,control
region,0.0,0.0,0,1.0,0.0,1,control
viability_signature,0.0,0.0,0,1.0,0.0,1,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,1,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,1,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,1,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,1,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,1,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,1,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,1,control
identity,0.0,0.0,0,1.0,0.0,2,control
all_one,0.0,0.0,0,1.0,0.0,2,control
random_k,0.0,0.0,0,1.0,0.0,2,control
checkerboard,0.0,0.0,0,1.0,0.0,2,control
region,0.0,0.0,0,1.0,0.0,2,control
viability_signature,0.0,0.0,0,1.0,0.0,2,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,2,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,2,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,2,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,2,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,2,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,2,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,2,control
identity,0.0,0.0,0,1.0,0.0,3,control
all_one,0.0,0.0,0,1.0,0.0,3,control
random_k,0.0,0.0,0,1.0,0.0,3,control
checkerboard,0.0,0.0,0,1.0,0.0,3,control
region,0.0,0.0,0,1.0,0.0,3,control
viability_signature,0.0,0.0,0,1.0,0.0,3,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,3,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,3,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,3,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,3,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,3,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,3,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,3,control
identity,0.0,0.0,0,1.0,0.0,4,control
all_one,0.0,0.0,0,1.0,0.0,4,control
random_k,0.0,0.0,0,1.0,0.0,4,control
checkerboard,0.0,0.0,0,1.0,0.0,4,control
region,0.0,0.0,0,1.0,0.0,4,control
viability_signature,0.0,0.0,0,1.0,0.0,4,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,4,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,4,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,4,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,4,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,4,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,4,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,4,control
identity,1.2351599889687381,3.1044763160576174,0,0.44739526697656284,1.8693163270888793,0,lure
all_one,0.0,0.0,0,1.0,0.0,0,lure
random_k,1.0556317991636788,2.741629283177076,0,0.486468442649527,1.6859974840133973,0,lure
checkerboard,0.26294036805717513,1.3397199112209746,0,0.7918030219735035,1.0767795431637994,0,lure
region,0.7474300992124709,2.0680741506746467,0,0.5722689568244695,1.3206440514621758,0,lure
viability_signature,1.0558369227091502,2.6755934657332308,0,0.48641990468884827,1.6197565430240806,0,lure
hash_k34_s1206,1.2351599889687381,3.1044763160576174,0,0.44739526697656284,1.8693163270888793,0,lure
trap_mixing_adversarial,1.095753277059757,2.854131803682846,0,0.4771554032366601,1.758378526623089,0,lure
behavioral_quotient_k5,0.5452645915287255,1.8067951222973164,0,0.6471383641882993,1.261530530768591,0,lure
behavioral_quotient_k8,0.7486443564834582,2.2478006005602493,0,0.5718715737092535,1.4991562440767912,0,lure
behavioral_quotient_k13,0.8365669016137136,2.4318500087941928,0,0.544494185929923,1.5952831071804792,0,lure
behavioral_quotient_k21,1.2244976928521722,3.0044639487360234,0,0.44953968853877985,1.7799662558838512,0,lure
best_of_10_hashes_per_world,1.2896544326016224,3.1044763160576174,0,0.43674712906949403,1.814821883455995,0,lure
identity,0.0,0.0,0,1.0,0.0,5,control
all_one,0.0,0.0,0,1.0,0.0,5,control
random_k,0.0,0.0,0,1.0,0.0,5,control
checkerboard,0.0,0.0,0,1.0,0.0,5,control
region,0.0,0.0,0,1.0,0.0,5,control
viability_signature,0.0,0.0,0,1.0,0.0,5,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,5,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,5,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,5,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,5,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,5,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,5,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,5,control
identity,0.0,0.0,0,1.0,0.0,6,control
all_one,0.0,0.0,0,1.0,0.0,6,control
random_k,0.0,0.0,0,1.0,0.0,6,control
checkerboard,0.0,0.0,0,1.0,0.0,6,control
region,0.0,0.0,0,1.0,0.0,6,control
viability_signature,0.0,0.0,0,1.0,0.0,6,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,6,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,6,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,6,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,6,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,6,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,6,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,6,control
identity,2.049222223229397,3.1447288818978674,0,0.3279524832207576,1.0955066586684703,1,lure
all_one,0.0,0.0,0,1.0,0.0,1,lure
random_k,1.898695522123203,2.89196064043373,0,0.34498276634019553,0.9932651183105273,1,lure
checkerboard,0.8238921627913277,1.3949521842854953,0,0.5482780289321362,0.5710600214941676,1,lure
region,1.2428734940235984,2.102543054609809,0,0.4458566221700057,0.8596695605862106,1,lure
viability_signature,1.7800201168447676,2.7039705170993003,0,0.35970962725800976,0.9239504002545328,1,lure
hash_k34_s1206,2.049222223229397,3.1447288818978674,0,0.3279524832207576,1.0955066586684703,1,lure
trap_mixing_adversarial,1.870536642377294,2.8967285829897698,0,0.34836691691621446,1.0261919406124758,1,lure
behavioral_quotient_k5,1.08292506863455,1.8272718852687038,0,0.4800940826236944,0.7443468166341539,1,lure
behavioral_quotient_k8,1.3919887260171162,2.251658286603327,0,0.4180621710810038,0.8596695605862106,1,lure
behavioral_quotient_k13,1.4754009625938993,2.501592903206375,0,0.4039749580415973,1.0261919406124758,1,lure
behavioral_quotient_k21,1.6323482181954696,2.6585401588079454,0,0.3798889497551054,1.0261919406124758,1,lure
best_of_10_hashes_per_world,2.025857711525129,3.121364370193599,0,0.3304848064041875,1.0955066586684703,1,lure
identity,1.2661889541543385,3.1462197117585813,0,0.4412694705650283,1.8800307576042428,2,lure
all_one,0.0,0.0,0,1.0,0.0,2,lure
random_k,1.1522463095472406,2.913277110834703,0,0.46463083503224406,1.7610308012874625,2,lure
checkerboard,0.21903306977333137,1.3518326026835936,0,0.8203222905068042,1.1327995329102623,2,lure
region,0.6967686693046591,2.0777044278844454,0,0.5893555309515487,1.3809357585797863,2,lure
viability_signature,1.0608272375595353,2.703684352678173,0,0.4852420337690296,1.6428571151186375,2,lure
hash_k34_s1206,1.2661889541543385,3.1462197117585813,0,0.4412694705650283,1.8800307576042428,2,lure
trap_mixing_adversarial,1.1141842698930782,2.888649788825065,0,0.4729956675207755,1.7744655189319867,2,lure
behavioral_quotient_k5,0.4860437357530041,1.8084053134171492,0,0.6729277045761258,1.322361577664145,2,lure
behavioral_quotient_k8,0.7326766359855197,2.259493326164346,0,0.5771417350654212,1.5268166901788265,2,lure
behavioral_quotient_k13,0.7859564603226714,2.500718447494832,0,0.5599240643410358,1.7147619871721604,2,lure
behavioral_quotient_k21,1.1631601292506395,2.895040412738741,0,0.46228662708683493,1.7318802834881013,2,lure
best_of_10_hashes_per_world,1.2667257864155574,3.1096766457881957,0,0.44116496401681227,1.8429508593726383,2,lure
identity,2.05637046610005,3.1864722775988312,0,0.3271854675640833,1.1301018114987813,4,lure
all_one,0.0,0.0,0,1.0,0.0,4,lure
random_k,1.9605801341897926,2.9770802341797484,0,0.33777163754213496,1.0165000999899558,4,lure
checkerboard,0.8146334272671026,1.4075435835815364,0,0.5510754871886344,0.5929101563144338,4,lure
region,1.2431193622611874,2.111179953668569,0,0.44580775184069793,0.8680605914073816,4,lure
viability_signature,1.7796158534321507,2.731711452102185,0,0.3597619429192861,0.9520955986700341,4,lure
hash_k34_s1206,2.05637046610005,3.1864722775988312,0,0.3271854675640833,1.1301018114987813,4,lure
trap_mixing_adversarial,1.8776975284473238,2.9307829865505557,0,0.347500037830437,1.0530854581032318,4,lure
behavioral_quotient_k5,1.0437144805162122,1.8587322245656925,0,0.48930513999559017,0.8150177440494805,4,lure
behavioral_quotient_k8,1.4791074172970635,2.347168008704445,0,0.4033709846628131,0.8680605914073816,4,lure
behavioral_quotient_k13,1.5725454909605454,2.6256309490637775,0,0.38872004538454896,1.053085458103232,4,lure
behavioral_quotient_k21,1.794712836593848,2.84779829469708,0,0.3578185160586246,1.053085458103232,4,lure
best_of_10_hashes_per_world,2.0579517744018805,3.1495454092028874,0,0.32701627552501045,1.0915936348010067,4,lure
identity,1.3041484822592824,3.1864722775988312,0,0.4339998084756551,1.8823237953395489,3,lure
all_one,0.0,0.0,0,1.0,0.0,3,lure
random_k,1.0540611798817137,2.7943899460824175,0,0.4868404163392964,1.7403287662007039,3,lure
checkerboard,0.27870351405467586,1.4075435835815364,0,0.7820421145391809,1.1288400695268606,3,lure
region,0.7298281284451706,2.111179953668569,0,0.5780921142141645,1.3813518252233983,3,lure
viability_signature,1.085096961921421,2.731711452102185,0,0.47959400366614036,1.6466144901807638,3,lure
hash_k34_s1206,1.3041484822592824,3.1864722775988312,0,0.4339998084756551,1.8823237953395489,3,lure
trap_mixing_adversarial,1.1568170713870884,2.9307829865505557,0,0.4636461818047841,1.7739659151634672,3,lure
behavioral_quotient_k5,0.5022614509024934,1.8253338326061255,0,0.6656630904023021,1.323072381703632,3,lure
behavioral_quotient_k8,0.8263442520977622,2.3645455431485702,0,0.5475418989883136,1.538201291050808,3,lure
behavioral_quotient_k13,1.0973954026191326,2.623248487706669,0,0.47678182127759283,1.5258530850875365,3,lure
behavioral_quotient_k21,1.133565959779474,2.8170694055654986,0,0.468698891363715,1.6835034457860245,3,lure
best_of_10_hashes_per_world,1.3022088951560953,3.1666680724399754,0,0.4343654488104988,1.86445917728388,3,lure
identity,2.049222223229397,3.1447288818978674,0,0.3279524832207576,1.0955066586684703,5,lure
all_one,0.0,0.0,0,1.0,0.0,5,lure
random_k,2.0068883874054353,2.9654961466879652,0,0.3325697103319733,0.9586077592825301,5,lure
checkerboard,0.8238921627913277,1.3949521842854953,0,0.5482780289321362,0.5710600214941676,5,lure
region,1.2428734940235984,2.102543054609809,0,0.4458566221700057,0.8596695605862106,5,lure
viability_signature,1.7800201168447676,2.7039705170993003,0,0.35970962725800976,0.9239504002545328,5,lure
hash_k34_s1206,2.049222223229397,3.1447288818978674,0,0.3279524832207576,1.0955066586684703,5,lure
trap_mixing_adversarial,1.870536642377294,2.8967285829897698,0,0.34836691691621446,1.0261919406124758,5,lure
behavioral_quotient_k5,1.0127330739545477,1.8246640719186473,0,0.49683686969739854,0.8119309979640996,5,lure
behavioral_quotient_k8,1.414799557113958,2.2744691177001686,0,0.4141130459685638,0.8596695605862106,5,lure
behavioral_quotient_k13,1.7168635998689572,2.7777128995094302,0,0.36807147773198223,1.060849299640473,5,lure
behavioral_quotient_k21,1.7668081339328525,2.8276574335733256,0,0.3614273023617867,1.060849299640473,5,lure
best_of_10_hashes_per_world,2.0140361192631326,3.109542777931603,0,0.33178102731047515,1.0955066586684703,5,lure
identity,0.0,0.0,0,1.0,0.0,7,control
all_one,0.0,0.0,0,1.0,0.0,7,control
random_k,0.0,0.0,0,1.0,0.0,7,control
checkerboard,0.0,0.0,0,1.0,0.0,7,control
region,0.0,0.0,0,1.0,0.0,7,control
viability_signature,0.0,0.0,0,1.0,0.0,7,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,7,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,7,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,7,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,7,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,7,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,7,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,7,control
identity,0.0,0.0,0,1.0,0.0,8,control
all_one,0.0,0.0,0,1.0,0.0,8,control
random_k,0.0,0.0,0,1.0,0.0,8,control
checkerboard,0.0,0.0,0,1.0,0.0,8,control
region,0.0,0.0,0,1.0,0.0,8,control
viability_signature,0.0,0.0,0,1.0,0.0,8,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,8,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,8,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,8,control
identity,0.0,0.0,0,1.0,0.0,9,control
all_one,0.0,0.0,0,1.0,0.0,9,control
random_k,0.0,0.0,0,1.0,0.0,9,control
checkerboard,0.0,0.0,0,1.0,0.0,9,control
region,0.0,0.0,0,1.0,0.0,9,control
viability_signature,0.0,0.0,0,1.0,0.0,9,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,9,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,9,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,9,control
identity,0.0,0.0,0,1.0,0.0,10,control
all_one,0.0,0.0,0,1.0,0.0,10,control
random_k,0.0,0.0,0,1.0,0.0,10,control
checkerboard,0.0,0.0,0,1.0,0.0,10,control
region,0.0,0.0,0,1.0,0.0,10,control
viability_signature,0.0,0.0,0,1.0,0.0,10,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,10,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,10,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,10,control
identity,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
all_one,0.0,0.0,0,1.0,0.0,6,lure
random_k,3.0516578988179592,3.0516578988179592,1,0.24681254562280355,0.0,6,lure
checkerboard,1.4048684574381194,1.4048684574381194,1,0.4158231594360422,0.0,6,lure
region,2.1071960503807237,2.1071960503807237,1,0.321833570777573,0.0,6,lure
viability_signature,2.7327045049587673,2.7327045049587673,1,0.2679022672894506,0.0,6,lure
hash_k34_s1206,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
trap_mixing_adversarial,2.930854424626611,2.930854424626611,1,0.254397617407312,0.0,6,lure
behavioral_quotient_k5,1.8328660454927774,1.8328660454927774,1,0.3529993949382276,0.0,6,lure
behavioral_quotient_k8,2.235814491267449,2.235814491267449,1,0.3090412020524409,0.0,6,lure
behavioral_quotient_k13,2.463845948908581,2.463845948908581,1,0.2886964416864696,0.0,6,lure
behavioral_quotient_k21,3.0578363595428577,3.0578363595428577,1,0.2464367488965614,0.0,6,lure
best_of_10_hashes_per_world,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
identity,0.0,0.0,0,1.0,0.0,12,control
all_one,0.0,0.0,0,1.0,0.0,12,control
random_k,0.0,0.0,0,1.0,0.0,12,control
checkerboard,0.0,0.0,0,1.0,0.0,12,control
region,0.0,0.0,0,1.0,0.0,12,control
viability_signature,0.0,0.0,0,1.0,0.0,12,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,12,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,12,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,12,control
