I_cost_constrained,I_unconstrained,bounded_cost_score,coarse_name,cost_sustainment_ratio,world_seed
0.0,0.0,0.0,identity,0.0,300
0.0,0.0,0.0,all_one,0.0,300
0.0,0.0,0.0,random_k,0.0,300
0.0,0.0,0.0,checkerboard,0.0,300
0.0,0.0,0.0,region,0.0,300
0.0,0.0,0.0,viability_signature,0.0,300
0.0,0.0,0.0,hash_k34_s1206,0.0,300
0.0,0.0,0.0,trap_mixing_adversarial,0.0,300
0.0,0.0,0.0,behavioral_quotient_k5,0.0,300
0.0,0.0,0.0,behavioral_quotient_k8,0.0,300
0.0,0.0,0.0,behavioral_quotient_k13,0.0,300
0.0,0.0,0.0,behavioral_quotient_k21,0.0,300
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,300
0.0,0.0,0.0,identity,0.0,301
0.0,0.0,0.0,all_one,0.0,301
0.0,0.0,0.0,random_k,0.0,301
0.0,0.0,0.0,checkerboard,0.0,301
0.0,0.0,0.0,region,0.0,301
0.0,0.0,0.0,viability_signature,0.0,301
0.0,0.0,0.0,hash_k34_s1206,0.0,301
0.0,0.0,0.0,trap_mixing_adversarial,0.0,301
0.0,0.0,0.0,behavioral_quotient_k5,0.0,301
0.0,0.0,0.0,behavioral_quotient_k8,0.0,301
0.0,0.0,0.0,behavioral_quotient_k13,0.0,301
0.0,0.0,0.0,behavioral_quotient_k21,0.0,301
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,301
0.0,0.0,0.0,identity,0.0,304
0.0,0.0,0.0,all_one,0.0,304
0.0,0.0,0.0,random_k,0.0,304
0.0,0.0,0.0,checkerboard,0.0,304
0.0,0.0,0.0,region,0.0,304
0.0,0.0,0.0,viability_signature,0.0,304
0.0,0.0,0.0,hash_k34_s1206,0.0,304
0.0,0.0,0.0,trap_mixing_adversarial,0.0,304
0.0,0.0,0.0,behavioral_quotient_k5,0.0,304
0.0,0.0,0.0,behavioral_quotient_k8,0.0,304
0.0,0.0,0.0,behavioral_quotient_k13,0.0,304
0.0,0.0,0.0,behavioral_quotient_k21,0.0,304
0.0,0.0,0.0,best_of_10_hashes_per_world,0.0,304
0.0,0.0,0.0,identity,0.0,303
0.0,0.0,0.0,all_one,0.0,303
0.0,0.0,0.0,random_k,0.0,303
0.0,0.0,0.0,checkerboard,0.0,303
0.0,0.0,0.0,region,0.0,303
0.0,0.0,0.0,viability_signature,0.0,303
0.0,0.0,0.0,hash_k34_s1206,0.0,303
0.0,0.0,0.0,trap_mixing_adversarial,0.0,303
0.0,0.0,0.0,behavioral_quotient_k5,0.0,303
0.0,0.0,0.0,behavioral_quotient_k8,0.0,303
0.0,0.0,0.0,behavioral_quotient_k13,0.0,303
0.0,0.0,0.0,behavioral_quotient_k21,0.0,303
